Units,words,mean_cn,sentence,sentence_tra
Unit3,well-off,adj. 顺利的；走运的；手头宽裕的；繁荣昌盛的,She likes to show how well-off she is by waving cash in front of us.,她喜欢在我们面前晃悠现钞，以展示自己有多宽裕。
Unit3,brief,"n. 摘要, 概要, 简短声明;  诉讼要点;  adj. 短暂的, 短时间的;  vt. 作…的摘要;  ",She made her wish when the meteor appeared in the brief moment.,流星划过天际的瞬间，她许下了她的愿望。
Unit3,spoken,adj.口语的，口头的,English and Chinese are some of the world's most commonly spoken languages.,英语和汉语是世界上最常用的口语。
Unit3,get used to, 习惯于,The city is always packed with people but you get used to it after a while.,城市总是挤满了人，但你不久就会习惯了。
Unit3,give...a lift,让···搭车,My car broke down and I'm really hot. Could you give me a lift?,我车坏人靓，载我一程呗？
Unit3,headmaster,n.校长,The headmaster runs our school with an iron fist.,我们校长靠着铁拳政策领导着我们的学校。
Unit3,apology,n. 道歉，认错 ,Will she accept his apology?,她会接受他的道歉吗？
Unit3,injure,v.伤害，损害，损伤,Ronaldo was given first aid treatment after he injured his leg.,罗纳尔多在扭伤脚之后获得了第一时间的救助。
Unit3,arrival,n.到来，到达，到达者 ,"After my arrival, I called my boyfriend and asked him to pick me up.",我到了之后给男朋友打了电话叫他来接我。
Unit3,multi-cultural,adj. 多元文化的,"Our campus was very multi-cultural, with students from all over the world.",我们的校园是非常多元文化的，有着来自世界各地的学生。
Unit3,mosquito,n.蚊子,Mosquito bites are so annoying!,蚊虫叮咬太恼人了！
Unit3,mushroom,,I think mushrooms are delicious.,我觉得蘑菇很好吃。
Unit3,cautious,adj.(of)小心的，谨慎的,It's good to be cautious and use your seat belt.,系好安全带，小心谨慎是好事。
Unit3,outgoing,,She is very friendly and outgoing.,她很友好，很外向。
Unit3,blanket,n. 毛毯; 毯子; 覆盖层;  adj. 总括的; 全面的; 不加区别的;  vt. 用毯子盖; 掩盖;  ,Is that your baby underneath this blanket? ,在毛毯下面那个是你的小宝贝吗？ 
Unit3,aspect,n.外表，面貌；(问题等的)方面,"A marketing campaign has several different aspects such as price, promotion etc.",市场营销包括很多不同的方面，比如价格、促销等。
Unit3,mailbox,n. 邮筒； 邮箱,The postman happily delivered mail to every mailbox every day.,邮递员每天愉快的把信件投到每个邮箱中。
Unit3,minority,n. 少数; 少数民族; 未成年;  adj. 构成少数的;  ,These ethnic minorities wear colorful clothes.,少数民族穿着颜色各异的服饰。
Unit3,cassette,n.磁带盒；录像带，盒式磁带,I don't even have the machine to play these old cassettes.,我连放这些旧磁带的机器都没有。
Unit3,whisper,"n. 低声细语;  悄悄话;  vi. 耳语, 密谈;  vt. 低声低语地讲;  私下说;  ",They are whispering as they are talking about gossips.  ,她们在窃窃私语地谈论着他人的八卦。
Unit3,contrary,n. 相反，对立面adj. 相反的，对立的，矛盾的,My sister is so contrary - she always disagrees with whatever I say!,我妹妹太叛逆了，我说什么她都不赞同。
Unit3,familiar,"n. 密友, 常客;  高级官吏的家属; adj. 不拘礼节的, 亲密的;  随便的, 熟悉的;",His owner's voice is very familiar to the dog.,狗对它主人的声音很熟悉。
Unit3,slice,n. 薄片;  一块;  vi. 可切成;  vt. 把…切成片;  把…分成数份;  ,The chef is slicing the bread.,大厨正把面包切片呢。
Unit3,literature,n.文学；文献,Western literature comes in many different languages.,西方文学有许多不同的语言。
Unit3,erupt,vi. 爆发;  (火山、喷泉、蒸汽等)喷发;  vt. 使迸发; 喷射出;  ,This volcano erupts three times a day.,这座火山一天喷发三次。
Unit3,northeast,n.东北adj.位于东北的 ,Many people live in the northeast of the USA.,很多人生活在美国东北部。
Unit3,foggy,adj.雾深的，模糊的；朦胧的，玻璃窗等)不明净的,We got lost in the foggy forest.,我们在迷雾森林中迷路了。
Unit3,flashlight,n. 手电筒;  闪光信号灯;  ,Always have a flashlight ready just in case the power goes out at night.,总是准备好手电筒以防晚上停电。
Unit3,cocoa,n.可可粉，可可茶，可可树，可可色,This chocolate cake is full of cocoa flavor.,这块巧克力蛋糕充满了可可香味。
Unit3,earthquake,n. 地震,The rescue team went to rescue the victims of the earthquake.,营救小组正在营救地震的受害者。
Unit3,lift,v.(使)升起，举起n.电梯；举起；免费搭车,They had to lift the car off the ground to fix it.,他们把汽车升起来以便维修。
Unit3,burglar,n.窃贼,"Officer, I think there's a burglar in my house.",长官，我觉得我的房子里有个窃贼。
Unit3,bear,n. 熊，看跌的人v. 容忍，带有，生育，产生,I'm scared of the bear--don't let it get near me!,我怕熊，别让它靠近我！
