Modules,words,mean_cn,sentence,sentence_tra
Module6,attack,,I told her I wanted to break up and she attacked me!,我告诉她我想分手，然后她就打了我！
Module6,hairy,adj.毛发的，多毛的,Some women prefer hairy men.,有的女人偏爱多毛的男人。
Module6,volcanic,adj.火山的；猛烈的；易突然发作的n.火山岩,After the volcanic eruption the sky was clouded with smoke.,在火山喷发后，天空被浓烟密布。
Module6,indicate,"vt. 指示, 标示;  表明, 表示, 显示;  ",The compass indicates that north is that way.,指南针指示的那边才是北。
Module6,dive,"n. 跳水;  潜水;  俯冲;  骤降;  全身心投入;  vi. 跳水;  潜水;  俯冲;  冲击;  急剧下降;  突然隐去;  突然把手伸进;  潜心钻研;  vt. 使跳水, 使潜水, 使降落;  把…突然伸入;  ",Is the water in this swimming pool deep enough to dive into?,这个游泳池的水深到能跳水吗？
Module6,myth,n.神话；虚构的信念(或观念、理论)；杜撰出来的人(或事物),A very old myth says that the world is held on the back of a giant turtle.,一个非常古老的神话说世界是被驮在一只巨大的乌龟背上的。
Module6,sharp,adj.锋利的；敏锐的；清晰的adv. 急剧地；锐利地；突然地,The sharp knife can cut through steak. ,这把锋利的刀能切断牛排。
Module6,footprint,"n. 脚印, 足迹;  ",Footprints on the sand can help in tracing the location of the enemy.,沙滩上的脚印可以帮助追踪敌人的位置。
Module6,evolve,v.使进化；使发展,"Even today,the human race continues to evolve - or maybe devolve.",即使在今天，人类仍然在不断进化，或者说退化。
Module6,border,"n. 边, 边缘;  边界, 国界;  vi. 接界, 接壤;  vt. 形成…的边界;  ",The border between the US and Canada is very long.,美国与加拿大的国界线很长。
Module6,sighting,n. 瞄准；照准；视线 v. 看见（sight的ing形式）,There was a UFO sighting over the city.,有个UFO正瞄准那座城市。
Module6,seal,n.海豹；邮戳；封条；火漆印v.密封；封锁；缄口,The letter had a red seal.,这封信有枚红色的火漆封印。
Module6,claw,"n. 爪;  (某些节肢动物的), 钳;  vi. 抓, 挖;  vt. 抓, 挖;  ",You have to watch out for the crab's claws.,你一定要小心螃蟹的钳。
Module6,disappear,v.消失；失踪,Her clothes make her body seem to disappear against the wall.,她的衣服让她的身体好像消失在墙里一般。
Module6,emperor,n.皇帝,Napoleon was the emperor of France.,拿破仑曾是法国的皇帝。
Module6,unpredictable,adj. 不可预知的,"The weather is so unpredictable that I always bring an umbrella, just in case.",天气变幻莫测，所以我总是带着伞，以防万一。
Module6,journal,n.定期刊物，杂志，日报；日记,Every night I write about my day in my journal.,每天晚上我都要写一篇关于我的一天的日记。
Module6,identity,"n. 身份;  个性, 特性;  ",The passport is used to verify your identity.,护照是用来验明正身的。
Module6,creature,n.人；生物；动物,"Is your favorite creature the dog, cat, or rabbit?",你最喜欢的动物是狗，猫还是兔子？
Module6,extinct,"adj. 灭绝的;  破灭了的, 消亡了的;  ",Dinosaurs have been extinct for millions of years.,恐龙在几千万年前就已经灭绝。
Module6,positive,adj.确定的；积极的；实际的；阳性的n.正面；正数,Stay positive; keep your mind on the good things.,保持乐观：把注意力放在好的事情上。
Module6,calm,,Spending the afternoon at the spa really helped calm me down.,用了一下午做spa真的有助于镇定自己。
Module6,claim,v.声称；认领；索赔,She claims her baggage at the airport.,她在机场领取行李。
Module6,die out,灭绝，绝种,The dinosaurs died out a long time ago.,恐龙在很久以前就灭绝了。
Module6,due to,由于；取决于,His huge size is due to his beer drinking habits.,他肥胖是因为他有喝啤酒的习惯。
Module6,frightening,adj. 骇人的; 令人惊恐的;  引起突然惊恐的;,OMG! Look at the frightening look of that wolf!,额的娘诶！快看那狼多骇人！
Module6,monster,n.怪物；巨兽；极其残酷的人adj.巨大的，庞大的,"He looks like a monster, but he's actually a very nice guy.",他看上去是个怪物，但实际上心地很好。
Module6,come straight to the point,谈正题；开门见山,I'll come straight to the point so I don't waste any time.,就让我开门见山吧免得浪费时间。
Module6,reputation,n. 名声; 声誉; 好名声;  ,"He has a good reputation among sportsmen, since he always wins.",因为经常赢得比赛，所以他在体育圈里有很高的声誉。
Module6,nail,,I'm going to the salon to get my nails done.,我准备去沙龙把我的指甲做好。
Module6,throw light on,帮助弄清楚；阐明某事,He found evidence that threw some light on the crime.,他发现了一些有用的犯罪线索。
Module6,generous,adj. 宽厚的;  慷慨的;  充裕的;  肥沃的;  ,The generous man gives lucky money to us on November 11th.,这个慷慨的男人在11月11日给我们发红包。
Module6,adapt,vi. 适应不同情况;  vt. 使适合;  改编;  ,Human beings have adapted to the changing environment.,人类已经适应了不断变化的环境。
Module6,robe,n.长袍，礼服,Everyone in the ceremony was dressed in dark robes.,仪式中每个人都穿着黑色的长袍。
Module6,surface,,The lotus flower is so beautiful on the surface of the water. ,水面上的莲花真漂亮。
Module6,destruction,n.破坏，毁灭，灭亡,"The typhoon caused much destruction, knocking over trees and damaging houses.",台风破坏性巨大，吹倒了树，摧毁了房屋。
Module6,fierce,adj. 凶猛的;  猛烈的;  狂热的;  ,Male animals can be fierce when they fight over females.,当雄性动物为了雌性动物而打架时，它们会变得异常凶猛！
Module6,cover,v.盖住；包括，掩护；通过；占地n.盖子；封面,"I don't use my swimming pool in the winter , so I cover it.",冬季我不用游泳池，所以我把它盖上。
Module6,skeptical,adj.表示怀疑的 ,"He told me he can fly, but of course I'm skeptical.",他告诉我他可以飞，不过当然我表示怀疑。
Module6,exist,v.生存，生活，存在,Unicorns only exist in fairy tales.,独角兽只存在于童话故事中。
Module6,mysterious,adj. 神秘的,That picture is very mysterious... What could it mean?,那幅画非常神秘，它究竟代表什么意思？
Module5,cruise,n.航游，游弋v.航游，巡航；(出租车、船等)缓慢巡行,"For our summer vacation, we took a cruise to a beautiful island.",我们暑假的时候，坐船去了一个美丽的小岛。
Module5,pin,n.针，饰针v.别住,I pin some notes to the wall.,我把一些便条钉在墙上。
Module5,valley,n.山谷，溪谷，低谷,From the top of the mountain I could see the entire valley below.,从山顶上我能看见下面整个山谷。
Module5,fertile,adj.肥沃的；多产的,These fertile fields will give us a lot of food.,这些肥沃的田地给了我们丰盛的食物。
Module5,narrow,,I will meet you on the other side of the narrow alley.,我在窄巷子那头等你。
Module5,lounge,"n. 休息室;  沙发;  懒散的步子;  vi. (懒散地)倚, 躺;  闲逛;  ",The family spent a lot of time sitting in the lounge.,这一家人坐在沙发上共同度过了很多时光。
Module5,plateau,n.高原，平稳的状态,The Tibetan Plateau is a beautiful but harsh place.,青藏高原是个美丽但环境恶劣的地方。
Module5,exploit,v.剥削；开拓，开采n.英雄行为，辉煌功绩,We will not exploit children in our factories.,在我们的工厂我们不会剥削童工。
Module5,deck,n.甲板，公共汽车一层的车厢，纸牌v.装饰；击倒,We spent time on the deck of the boat.,我们在船的甲板上打发时光。
Module5,shore,n.滨，岸,Serene and calm sea shores are perfect for a holiday.,清澈而平静的海滨对于度假来说再完美不过。
Module5,cabin,n.小屋(简陋的)；船舱，机舱v.住在小屋里,We like to go to our small log cabin in the woods.,我们喜欢去我们在树林的小木屋。
Module5,at the edge of,在……的边缘,She likes to sit at the edge of the pool and drink cocktails.,她喜欢坐在泳池边喝鸡尾酒。
Module5,immense,adj.极大的，巨大的,"Behind him was the immense, snow-covered mountain.",他身后是巨大的雪山。
Module5,plain,"n. 平原, 旷野;  大平原;  adj. 平坦的;  明白的;  坦率的;  朴素的;  ",I like plain T-shirts as they are simple and cheap.,我喜欢这种普通的T恤，因为他们即便宜又简约。
Module5,surround,"n. 围绕物, 环绕物;  adj. 环绕立体声的;  vt. 包围;  围绕;  ",Look for the house with the two windows surrounded by green vines.  ,来找找看这个有两个窗子并被绿色藤蔓植物包围的房子。
Module5,varied,adj.多变的，各种各样的,The table was covered with a varied assortment of tools.,桌上放满了各种各样的工具。
Module5,cave,n. 洞穴v. 挖洞,I brought a torch so I could explore the cave.,我拿了一个火把，这样我就可以探测这个山洞了。
Module5,flat,n.平面；公寓adj.平坦的；浅的；单调的adv.干脆地,My new flat screen TV takes up much less space.,我的新平板电视占了很少的空间。
Module5,trade,,"International trade between China and the West is huge, and it grows larger every year.",中国与西方之间的国际贸易是巨大的并且与日俱增。
Module5,naturally,adv.自然地，天然地,The color of grass is naturally green.,青草呈现出自然的绿色。
Module5,wood,n.木头，木材，木料；林地，树林,The wall was made completely out of wood.,那个墙壁完全是用木头做的。
Module5,mountainous,adj. 多山的;  巨大的;  ,We were warned about the dangers of high elevation in the mountainous areas.,我们被警告说去多山地区高海拔的地方很危险。
Module5,temple,n.庙宇，圣堂，神殿,The old temple was beautiful at night.,这个古老的庙宇在晚上十分漂亮。
Module5,spot,n. 斑点；污点v. 发现，认出,The artist made a pattern of blue spots on the white wall.,艺术家在白墙上弄上了蓝色斑点。
Module5,hilly,"adj. 丘陵的, 多 (小) 山的;  多斜坡的, 陡的;  ","Most ski resorts are in hilly countries, for obvious reasons.",许多滑雪胜地是在多山的国家，原因很明显。
Module5,steep,n. 陡坡;  vi. 陡峭;  adj. 陡峭的;  急剧的;  过高的;  adv. 陡峭地;  ,This cliff is almost too steep to climb!,这个悬崖几乎太陡峭了，以至于不能攀爬。
Module5,legend,n.传说，传奇人物；(奖章纪念牌等的)铭文；地图的图例，插图的说明,The movie was based on the legend of King Arthur.,这部电影是以亚瑟王的传奇为题材的。
Module5,slope,n.山坡，斜坡，倾斜v.倾斜,He is skiing down the slope--I hope he doesn't fall.,他正从斜坡上滑雪滑下来，我希望他没摔着。
Module5,peak,n. 最高点，山峰v. 达到最高点,He climbed to the peak of the mountain to watch the sunset.,他爬到山顶去看日落。
Module5,colleague,"n. 同事, 同行;  ",Our new work colleague gave us a marvelous presentation.,我们的新同事给我们做了一个精彩的展示。
Module5,goods,n.货物，商品,The goods are sent to us every day.,这些货物每天都寄送给我们。
Module5,distant,adj.遥远的，久远的，疏远的,The destination is still distant; we will not get there for a while.,目的地还很远，我们一时半会儿到不了。
Module5,dock,n.码头，船埠，被告席v.(船)进港，扣工资，剪断,The boats unload at the dock.,船在码头卸货。
Module5,forbid,v.禁止，不许,We forbid smoking in the restaurant.,餐厅禁止吸烟。
Module5,downstream,adj.下游的adv.下游地 ,"Downstream of here is a little restaurant, so we can sit back and let the river take us there.",这里的下游处是个小餐馆，我们可以坐着让河流带我们到那儿。
Module5,raft,n.木筏；救生艇,We like to take the raft out for a relaxing day in the lake.,我们会在湖里划木筏来度过轻松的一天。
Module5,remote,n. 遥控器;  adj. 遥远的;  偏僻的;  关系远的;  ,Have you seen the remote control for the air conditioner?,你看到空调的遥控器了吗？
Module5,in the distance,在远处,Is that a small sailboat I see in the distance?,我看到那远处的是一艘小帆船吗？
Module5,view,n. 视野；见解； 风景v. 看，俯瞰；视察,What an amazing view from up here!,山顶的风景太赞了！
Module5,detour,n.弯路，绕行之路v.绕道，迂回,"The road was closed for construction, so we had to take a detour around it.",道路因修建而封闭，所以我们不得不绕道而行。
Module5,get a kick out of,（俚语）从……中得到乐趣,They get a kick out of roller coaster rides.,他们乘坐过山车中得到了很大的乐趣。
Module4,brief,"n. 摘要, 概要, 简短声明;  诉讼要点;  adj. 短暂的, 短时间的;  vt. 作…的摘要;  ",She made her wish when the meteor appeared in the brief moment.,流星划过天际的瞬间，她许下了她的愿望。
Module4,producer,n. 生产者; 制作者; 出产地; (电影)制片人; ,The USA is a major global producer of grain.,美国是世界主要粮食生产国之一。
Module4,physical,adj.自然的；物质的；物理的；身体的n. 体格检查,Physical exercise is good for the body and the mind.,体育锻炼有益身心健康。
Module4,convert,v.使转变；使改变,This scale converts dollars to euros.,这个比例可以把美元换算成欧元。
Module4,victim,n.牺牲品，受害者，替罪羊,The victim of the accident was badly hurt.,车祸的受害者受了重伤。
Module4,leading,adj.领导的，重要的，主要的,The leading cyclist was starting to pull away from the rest.,领先的骑手渐渐甩开了其他人。
Module4,figure,n. 体型；人物；形状；数字v.想出，估计，计算出,I maintain my figure by eating well and exercising.,我通过合理膳食和锻炼保持身材。
Module4,brilliant,adj.明亮的，卓越的，有才气的；聪颖的,The little girl is brilliant; she is already doing college level math.,这个小女孩很聪明，她已经会做大学难度的数学题了。
Module4,botany,n.植物学；（总称）一个地区的植物,Botany is the study of plants.,植物学是研究植物的学科。
Module4,gunpowder,n.火药,The gunpowder is in the bullet.,子弹里装的是火药。
Module4,genetics,n.遗传学 ,Genetics explains how children inherit some of their parents' characteristics.,遗传学解释了孩子如何继承他们父母的特点。
Module4,arrow,n. 箭;  箭状物;  箭号 (即→);  vi. 如箭般地迅速行动;  vt. 以箭头指示;  箭一般地飞向并穿过;  ,"Wow, you hit the bullseye with three arrows! Nice shooting!",哇哦！你三箭全中靶心。射得好！
Module4,nickname,"n. 绰号, 诨号; 昵称; vt. 起绰号;  叫错…的名字;  ","Xiaoming happily accepts his new nickname, ""Turkey"". ",小明兴高采烈地接受了”二缺“这个绰号。
