units,words,mean_cn,sentence,sentence_tra
Unit3,lack,,There's a lack of food here - it's my boyfriend's fault!,冰箱里食物不足是我男朋友的错！
Unit3,swallow,"n. 咽, 吞;  燕子vi. 咽下, 吞下;  vt. 咽下, 吞下;  ","Wow, look at him swallow that sword!",哇!看哪，他吞下了那把剑！
Unit3,constantly,adv. 不断地，不变地,I am thinking about passing my exams constantly all day.,我整天心里都在（不断地）想着通过考试的事情. 
Unit3,postcode,n. （英）邮政编码,Your letters will arrive faster and more reliably if you include the postcode in the address.,如果你在地址里写上邮编能让你的信件寄得更快，也更有保障。
Unit3,dispose,v. 处理，处置，除去；使愿意,"Since you don't want to eat any more, I'll dispose of the food.",既然你不吃了，我就把剩下的食物倒（处理）掉。
Unit3,constant,"n. 不变的事物;  常数, 恒量;  adj. 持久不变的, 始终如一的;  继续不断的;  持续的;  ",Pi's value is constant; it is always about 3.14.,π 的数值是不变的，总是约为3.14。
Unit3,guide,,"I'd be lost without you, my handsome mountain guide!",要是没有我帅气的山地导游我一定会迷路的。
Unit3,pessimistic,adj.悲观(主义)的,The pessimistic man always expects the worst.,这个悲观的人总是把什么都想得很糟。
Unit3,fasten,v.扎牢；扣住；固定,We should all fasten our seat belts before I start the car.,在我开车之前我们都应该系牢安全带。
Unit3,typist,n. (尤指专职)打字员;  ,"If you type fast enough, you can become a typist.   ",如果你打字足够快的话，你可以成为一名打字员。
Unit3,button,n.纽扣，按钮(开关)　　v.扣紧；扣上纽扣,Press the button to turn off the computer. ,关电脑按这个按钮。
Unit3,representative,n.代表，代理人adj.(of)典型的，有代表性的,The sales representative sold me a car.,这个销售代表卖给我一辆车。
Unit3,jet,n.喷气式发动机，喷气式飞机，喷射器；黑色大理石v.喷射；用喷气式飞机载送adj.喷气式(发动机)推进的；黑色大理石制的,Nowadays most long-distance travel is by jet plane.,现在，大多数长途旅行都是乘坐喷气式飞机的。
Unit3,capsule,n.胶囊；航天舱，密封舱,Take these medicine capsules; they'll treat your illness.,把这些胶囊服了，它们能治你的病。
Unit3,surrounding,n. 包围;  围绕物;  周围的事物;  adj. 周围的;  环境的;  ,The sheep is constrained by the surrounding fence.   ,那只羊被周围的栅栏给关起来了。
Unit3,moveable,adj.  可移动的；活动的,All my furniture is easily moveable.,我所有的家具都是可以轻松搬动的。
Unit3,slide into,（快捷而悄声地）移动；溜进……,He slid into first base before the ball arrived.,在球到达之前，他悄悄地溜进了一垒。
Unit3,sweep up,打扫；横扫,Every autumn I need to sweep up the fallen leaves.,每个秋天我都需要扫落叶。
Unit3,jet lag,n. 飞行时差反应，时差感,"When I fly across the ocean, my jet lag makes me sleepy.",当我飞越大洋时，时差令我昏昏欲睡。
Unit3,combination,"n. 结合, 联合, 组合;  (保险锁等的)暗码;  ",The combination to the lock is 1-2-3. ,这锁的密码组合是1—2—3。
Unit3,safety belt,安全带,"My teddy bear needs a safety belt to keep him safe, too!",我的泰迪熊也需要安全带来保障它的安全！
Unit3,efficiency,n.效率；功效，效能,"Giving the worker a cart greatly improved his efficiency, and now he can work twice as fast.",给工人提供推车极大提高了工作效率，现在他的工作效率是以前的两倍。
Unit3,sideways,adv.斜着，斜向一边地 ,Please turn to the side--we want a sideways view.,请侧转身一下，我们想要一个侧面照。
Unit3,desert,,The desert is very dangerous; there's no water for miles.,沙漠中充满了危险，方圆百里没有一滴水。
Unit3,tablet,n.药片；便笺簿；碑，匾,This ancient tablet is from Roman times.,这块古老的石碑源自罗马时代。
Unit3,manufacture,v.生产，制造n.产品,This factory manufactures a hundred cars a day.,这个工厂每天能生产一百辆车。
Unit3,goods,n.货物，商品,The goods are sent to us every day.,这些货物每天都寄送给我们。
Unit3,impression,n.印记，印象，感觉，感想，压痕,I think I made a good first impression when I met him at the park.,我想当我在公园遇到他时给了他一个很好的第一印象。
Unit3,efficient,adj.效率高的；有能力的，能胜任的,The mother is very efficient; she can watch her kids and do her work at the same time.,这位母亲效率非常高，她可以一边照看孩子一边做自己的工作。
Unit3,belt,n.带，腰带；皮带；传送带,My pants are so loose that I need to wear a belt.,我的裤子太宽松了所以我需要系一条腰带。
Unit3,press,v.挤压n. 报刊；新闻界；出版者,Press the button on the phone to make a call. ,按电话上的按键来打电话。
Unit3,uncertain,adj. 不确定的;  不确知的;  不可靠的;  易变的;  ,"I am uncertain about the right path, could you please help me?",我不确定哪条路是对的，你能帮我吗？
Unit3,mud,n. 泥,Oh no! I think we are stuck in the mud!,哦不!我想我们困在泥里了！
Unit3,hover,v.(鸟)盘旋，翱翔；(人)逗留在附近徘徊,Helicopters are hovering over the air base.,直升机盘旋在空军基地上方。
Unit3,adjustment,n.调节；调节器,My chiropractor made adjustments to my spine to help correct my back problems.,我的脊椎按摩师对我的脊椎进行调整，从而帮助矫正我背部的问题。
Unit3,recycle,v.回收利用；改建,Make sure to recycle all your plastic bottles.,要确保你回收了所有的塑料瓶。
Unit3,expertise,n.专门知识，专门技能,The doctor has expertise in medicine.,医生有很多医学方面的专业知识。
