Modules,words,mean_cn,sentence,sentence_tra
Module6,poster,"n. 贴标语;  海报, 张贴的大幅广告;  ",Let's put a poster up outside to advertise our business.,我们在外面贴一张海报给我们的业务做宣传吧。
Module6,graceful,"adj. 优美的, 优雅的, 得体的;  ",The graceful necks of the two swans met in a heart shape.,这两只天鹅优美的颈部组成了一个心形。
Module6,interest,n.兴趣，利息，利益v.使感兴趣,My bank account earns a little interest every month.,我的银行账户每个月都会赚进一点利息。
Module6,character,n. 性格，品质；特性；角色；字符，字体,This superhero cartoon character can repair anything.,这个超级英雄卡通人物能修理任何东西。
Module6,leap,v/n.跳；跃；激增,The athlete leaps over the obstacles.,运动员跃过障碍。
Module6,entertaining,adj. 令人愉快的,This couple is watching an entertaining movie. ,这对情侣正在看一场有趣的电影。
Module6,male,n.男性，雄性adj.男性的，雄性的,The male deer has big horns on its head.,雄鹿头上有大的鹿角。
Module6,masterpiece,n. 杰作; 业绩;  ,'Cupid and Psyche' is a masterpiece of classical sculpture.,"""丘比特与普绪刻""是古典雕刻技艺中的杰出作品。"
Module6,plot,n.小块土地，情节，阴谋v.密谋，计划，为小说写情节,This story has a romantic plot.,这个故事有一个浪漫的情节。
Module6,fiance,n. 未婚夫 ,This is my fiance Chris - we're getting married next year.,这是我的未婚夫Chris，我们明年将会结婚。
Module6,section,n. 区域；部分；章节v.划分，切开,You can find jobs in the classifieds section of the newspaper.,你能在报纸的分类单元找到工作。
Module6,argue,v.争论，争辩，辩论,The workers argue about whose fault the mistake was.,员工们在争论错误是谁犯的。
Module6,shark,,I've never seen a shark so close!,我从来没有这么近距离看过鲨鱼。
Module6,drama,n. 戏剧性场面(情景)，戏剧,"He wants to be an actor, so he studies drama in school. ",他想当演员，所以他在学校学习戏剧。
Module6,brave,adj.勇敢的,You must be brave to fight dragons.,你一定要足够勇敢来与龙搏斗。
Module6,actress,n.女演员,The beautiful actress loves the attention she gets from her fans. ,这个漂亮的女演员很享受来自粉丝的关注。
Module6,rooftop,n.屋顶,"The view from the rooftop is lovely, just make sure the children don't fall off.",屋顶的风景很漂亮，但要确保孩子们不会掉下去。
Module6,setting,n.环境，设置，安装，调整,An electrician was called to check the machine's settings.,电工被叫来检查机器的设置。
Module6,thriller,n.惊险小说；使人毛骨悚然的东西；使人毛骨悚然的小说,They didn't expect the movie to be a thriller.  It may have been too exciting for them.,他们没想到这部电影是部惊悚片，这对他们来说也许太刺激了。
Module6,moving,adj. 移动的；动人的；活动的v. 移动,"We just bought a new home, so it's moving time!",
Module6,female,,Females are increasingly successful in the workplace.,女性在职场中越来越成功。
Module6,channel,n.频道，渠道，海峡v.引导,I spent the whole day changing TV channels.,我一天都在不停地换台。
Module6,ad,n.广告,I saw an ad for a job.,我看到了一个招聘广告。
Module6,be in love with,爱上；喜欢（表状态）,They are still in love with each other after all these years.,这么多年过去之后，他们仍然深爱着对方。
Module6,telly,n.（非正式）电视,My British grandmother sits in front of the telly all day.,我英国的祖母整天都坐在电视机前。
Module6,fall in love with,爱上；喜欢（表动作）,They immediately fell in love with each other.,他们立刻就爱上了对方。
Module6,in surprise,吃惊，惊讶,She looked in surprise at the enormous diamond ring her boyfriend had bought her.,她惊讶地看着她男朋友给她买的巨大宝石。
Module6,comedy,n. 喜剧;  ,She was amused by comedy and laughed like a idiot.   ,她被喜剧逗得像傻X一样地笑。
Module6,sword,n.剑，刀,At the museum they had a sword on display that was over 800 years old.,在博物馆陈列着一把有八百多年历史的剑。
Module6,come out,v.出现；出版；罢工；表露；(污点)被去掉,The new edition of the magazine has just come out.,这本杂志的新一期刚出版。
Module5,headline,n.大字标题,I didn't read the story; I only saw the headline. ,我没看这个故事，我只看了眼标题。
Module5,actor,"n. 演员,男演员;  ",The actor wears a colorful wig and performs in the play.,这个男演员戴着彩色的假发，在戏中演出。
Module5,flight,n.航班，飞行，逃跑,I have to get to the airport quickly--my flight leaves in an hour!,我必须赶快到达机场——我的飞机在一个小时后要飞了！
Module5,aboard,"prep. 在 (船、火车、汽车、飞机等)上, 上(船、火车、汽车、飞机等);  adv. 在船(或火车、公共汽车、飞机等运输工具)上, 上船;  ",We stayed aboard the ship for several hours. It was lovely. ,我们在船上待了好几个小时，这里真爽。
Module5,review,n./v.检查；复习；评论,"The customer reviewed my performance, and found it excellent.",客人评价了我的表现，给我打了一个“满意”。
Module5,replace,v.代替，更换；把...放回原处,Let me replace that old light with a new one.,让我换支新灯管。
Module5,navigator,n. 航海家，领航员，驾驶员,Our navigator decides which direction our ship should go.,我们的领航员决定我们的船该往哪个方向开。
Module5,celebrity,n. 名人; 名流;  adj. 有名望的; 名人的;  ,The famous celebrity walked down the red carpet. ,名人走在红地毯上。
Module5,now that,既然,"Now that you're talking, I'm not listening!",你偏要说，我就偏不听。
Module5,found,v.成立，建立，创办,"The businessmen founded their own company, so they cut the ribbon themselves.",商人们成立了自己的公司，所以他们自己来剪彩。
Module5,produce,n. 农产品;  vi. 生产; 产生; 创作;  vt. 生产; 创作; 产生;  ,The factory produced things quickly. ,工厂生产产品速度很快。
Module5,autograph,n.亲笔签名v.署名,Why do you want my autograph? I'm not THAT famous...,为什么你想要我的签名？我又不是多么出名……
Module5,alien,,The aliens are considering landing on Earth.,外星人在考虑在地球上登陆。
Module5,welcome,,The waiter stood at the door to welcome customers into the restaurant.,服务员站在门口欢迎顾客进餐厅。
Module5,photographer,n.摄影师 ,The photographer is taking pictures with a camera.,摄影师在用照相机拍照。
Module5,capsule,n.胶囊；航天舱，密封舱,Take these medicine capsules; they'll treat your illness.,把这些胶囊服了，它们能治你的病。
Module5,cosmonaut,n.（俄）宇航员,Russian cosmonauts were the first people in space.,俄罗斯宇航员是最先进入太空的人。
Module5,congratulation,n.(on)祝贺；祝贺词,Congratulations on your success!,祝贺你的成功！
Module5,royal,adj.王室的，皇家的；第一流的，高贵的,The king wears his royal clothes.,国王穿着他的御用衣服。
Module5,part,n. 部分；角色；零件adj. 部分的v. 分离；分配；断裂；分手adv. 部分地,You can have part of the watermelon; I'll eat the rest.,你可以吃一部分西瓜，我吃剩下的。
Module5,photograph,n. 照片;  vi. 拍照;  vt. 为…拍照;  ,After my vacation I showed my friends all of my travel photographs.,在假期之后我向朋友们展示了所有旅途中的照片。
Module5,sailor,n.水手，海员,The sailor has been out to sea for several months. ,水手已经出海几个月了。
Module5,achievement,n.成绩，成就；实现，完成,Graduating from university in such a short time is a major achievement.,在这么短时间内从大学毕业是很大的成就。
Module5,spaceship,n.宇宙飞船,We watched the spaceship land on the moon on TV. ,我们在电视上看到了太空船落在月球上。
Module5,politician,n.政治家，政客,The politician gave a powerful speech. ,政客做了有力的演讲。
Module5,delighted,adj.欣喜的，快乐的,She is delighted that she finished her work.,她很高兴她完成了工作。
Module5,historical,n. 历史题材的文学作品;  adj. 历史的; 有关历史的;  ,Historical places are the greatest tourist attraction.,历史古迹是最重要的旅游景点。
Module5,evidence,v. 证明n. 证据，迹,Keep every piece of evidence to help us solve the crime. ,保存每一条证据以帮助我们侦破犯罪案件。
Module5,cultural,adj. 文化的；教养的,"Plays, songs, and national dress are part of our cultural heritage.",戏剧，戏曲还有民族服装是我们的文化遗产的一部分。
Module5,orbit,n. 轨道;  vt. 环绕…的轨道运行;  vi. 环绕…的轨道运行; ,All of the planets orbit the sun.,在太阳系里，所有星球环绕太阳运行。
Module5,in total,总共；合计,"In total, my groceries were only $50!",我买的杂货总共只花了50美元。
Module5,belief,n. 相信;  信仰;  信任;  被信仰之物;  看法;  ,My belief in God gives me confidence.,信仰赋予我自信。
Module5,universe,n.宇宙，万物，世界，领域，范围 ,The universe is full of stars.,宇宙充满了星星。
Module5,fan,n.扇子；风扇；(影，球等)迷v.扇动；激起,Turning the fan on in the summer can keep you cool.,在夏天把风扇打开就可以保持清凉。
Module5,financial,adj. 财政的; 金融的;  ,It's easy to make money in the financial industry.,在金融业赚钱很容易。
Module5,telescope,"n. 望远镜;  vi. 套入;  缩短;  adj. 套筒的, 伸缩式的;  vt. 使套入;  ",Can I see the stars through this telescope?,我能透过这架望远镜看到星星吗？
Module5,backstage,adv.在后台,I met the superstar backstage and asked for her autograph.,我在后台遇到了那个明星，并请她签了名。
Module5,astronomer,n.天文学家,The astronomer watches the stars.,天文学家在观测行星。
Module5,economy,n. 经济,The economy is improving and people have more money.,经济正在改善，人们也有了更多的钱。
Module5,amateur,,"At only four years old, she's already an amateur photographer.",虽然只有四岁，她已经俨然是个小小业余摄影师了。
Module5,politics,n.政治，政治学；政纲，政见,Never trust anybody who works in politics!,永远不要相信玩政治的人。
Module5,believe in,相信,Do you believe in God?,你相信上帝吗？
Module4,contemporary,adj.同时代的，当代的n.同龄人，同时代的人,The design of this kitchen is so contemporary.,厨房的设计很现代。
Module4,traditional,adj. 传统的,Many modern Chinese have traditional statues at home.,许多现代中国人的家里都有传统雕塑。
Module4,realistic,adj.现实(主义)的；逼真的，栩栩如生的,Wow - that's a pretty realistic drawing of a violinist!,哇！那真是一幅栩栩如生的小提琴手素描！
Module4,paint,v. 描绘；粉饰；上油漆n. 颜料，油漆；化妆品,She decided to paint the walls of her house a green color.,她决定把她房子的墙涂成绿色。
Module4,tell by,从……可以看出,I can tell by her face that she's been eating chocolate.,从她的脸我能看出，她吃了巧克力。
Module4,be/get tired of,对……厌烦,She got tired of carrots after eating them for a week.,吃了一个星期的胡萝卜之后她感到厌烦了。
Module4,dislike,,He really dislikes vegetables. Give him something sweet. ,他真的不喜欢蔬菜。给他点甜食。
