units,words,mean_cn,sentence,sentence_tra
Unit3,system,n. 系统; 体制; 身体;  ,I'm building a computer system.,我正在建一个计算机系统。
Unit3,painful,adj.痛苦的，疼痛的，费力的,My shoulder hurts - it's very painful.,我的肩膀受伤了，很痛。
Unit3,comfort,,Ah! The level of comfort of this chair is amazing.,啊！这张椅子的舒适度真是太棒了。
Unit3,affect,v.影响，感受，假装,Her break-up with her lover has badly affected her.,她与恋人的分手严重地影响了她。
Unit3,pressure,n. 压力v.对...施加压力；迫使,The student was under a lot of pressure to do well on the exam. ,为了考好试学生承受了巨大压力。
Unit3,work,n.工作；作品vi.起作用，有效果，奏效  ,"I love my job, so I work very hard.",我爱我的工作，所以我工作很努力。
Unit3,diet,n. 饮食，病人或减肥者的)特种饮食v. 节食，规定饮食,I'm trying to eat a diet of only fruits and vegetables.,我在尝试吃只有蔬菜水果的节食餐。
Unit3,chip,"n. 木屑, 碎片;  缺口;  圆形筹码;  芯片;  vi. 碎裂;  vt. 削, 凿;  将…削成、凿成;  ",There are many wood chips on the floor.,地板上有很多木屑。
Unit3,court,"n. 法院，庭院，球场；宫廷v. 献殷勤, 招致危险, 追求",Your murder trial will be in court room number one.,你的谋杀案审讯将在第一法院开庭。
Unit3,side effect,n.副作用,One of the side effects of this medicine is dry-mouth.,这个药的副作用之一是口干舌燥。
Unit3,make the most of,v.充分利用,She makes the most of her old bottles by recycling them.,她回收她的废旧瓶子并加以充分利用。
Unit3,membership,n.会员资格，成员资格,I now have a membership in the airline's VIP club.,现在我有这家航空公司VIP俱乐部的会员资格了。
Unit3,useless,adj.无用的，无价值的，无效的,This computer is useless; I need to get a new one.,这台电脑不能用了，我需要换新的。
Unit3,figure,n. 体型；人物；形状；数字v.想出，估计，计算出,I maintain my figure by eating well and exercising.,我通过合理膳食和锻炼保持身材。
Unit3,loss,n. 遗失; 失败;  失去;  伤亡及被俘人员;  ,She offered him the condolences for his loss.,她对他痛失亲人表示哀悼。
Unit3,skip,,The children skip across the chalk boxes.,孩子们跳过了粉笔画的格子。
Unit3,athlete,n 运动员，体育家，强壮的人,He's a championship athlete; basketball is his game.,"他是一个冠军运动员,篮球是他的拿手好戏。"
Unit3,branch,n.树枝；分支(学科)；部门 ；办事处,I climbed a rope tied around a tree branch.,我沿着捆绑在树枝上的绳子爬上去。
Unit3,liver,n.肝；肝脏,"After years of drinking, my liver doesn't work like it used to.",多年的饮酒，让我的肝功能大不如前。
Unit3,overweight,n.超重,I don't enjoy seeing overweight men at the beach.,我讨厌在沙滩上看见超重的人。
Unit3,amount,,He made a huge amount of money.,他挣了一大笔钱。
Unit3,energetic,adj.精力充沛的，充满活力的；有力的，积极的,I am an energetic runner.,我是个精力充沛的跑步者。
Unit3,skin,n.皮肤，兽皮，外皮v.剥皮，去皮,Her skin is very clear. ,她的皮肤很光洁。
Unit3,post,"n. 柱;  邮政, 邮寄;  职位, 岗位;  哨所;vt. 贴出;  公告;  邮寄;","Every day, our business posts about twenty letters.",每天我们公司邮寄大约二十封信。
Unit3,equipment,n.设备；器材；装置,He brought special equipment to fix the water leak.,他带了特殊器械来修理漏水。
Unit3,pill,n.药丸,Which pill do I take to help my memory?,我吃哪种药丸能对我的记忆力有帮助呢？
Unit3,marathon,,The marathon will take about 3 hours to run.,这场马拉松要花三个小时来跑。
Unit3,expert,n.专家adj.熟练的,"Don't worry, he's an expert; he'll know how to fix the computer.",不用担心，他是专家，他会知道怎么修电脑。
Unit3,get into shape,  强身健体；使有条理，恰当安排,Walking is a good way to get in shape.,走路是种很好的塑形方式。
Unit3,in the long term, 长期来说,"In the long term, the trend is upward.",长期来说，趋势是上涨的。
Unit3,treatment,n.对待；治疗，疗法,"After the skin treatment, my skin looks younger and healthier.",在皮肤保养之后，我的皮肤看起来年轻健康多了。
Unit3,weight-loss, 减肥,Her weight-loss program is a success.,她的减肥计划很成功。
Unit3,attractive,"adj. 吸引人的, 妩媚动人的, 引起兴趣的;  ","Oh, my lady! You are so attractive! ",哇哦，我的女神！你简直太妩媚动人了！
Unit3,work out,phr. 计算出; 锻炼; 计划; 解决;,It didn't take long for the teacher to work out the math problem on the board.,老师不用花很长时间就能在黑板上解出这道数学题。
Unit3,kilogram,n.千克，公斤 ,They sell rice by the kilogram.,他们按公斤出售大米。
Unit3,concentrate,,"If you want to hit the target, you will have to concentrate and focus.",如果你想射中靶子，你必须做到集中精神和专注。
Unit3,approximately,adv.近似地，大约,Pi is approximately equal to 3.1415.,圆周率大约等于3.1415。
Unit3,slim,,"Ever since she started her diet, she has had a very slim figure.",她的身材自从节食开始就很苗条了。
Unit3,mostly,adv. 大多,They are mostly very holy.,他们大部分非常神圣。
Unit3,downtown,adj.商业区的，闹市区的 adv.往(在)商业区,I work downtown but I live outside the city.,我在市中心工作，但住在郊区。
Unit3,embarrassed,adj.尴尬的，窘迫的，觉得难堪的,He was so embarrassed about farting around so many people.,当着这么多人放屁，他非常尴尬。
Unit3,failure,n. 失败；失败者；破产,"If I can't increase sales, I'll be a failure!",如果不能增加销售额，我就是一个失败者！
