Units,words,mean_cn,sentence,sentence_tra
Unit1,jungle,n. 丛林,The elephants take us deeper into the jungle.,大象们带我们深入丛林。
Unit1,plain,"n. 平原, 旷野;  大平原;  adj. 平坦的;  明白的;  坦率的;  朴素的;  ",I like plain T-shirts as they are simple and cheap.,我喜欢这种普通的T恤，因为他们即便宜又简约。
Unit1,bear,n. 熊，看跌的人v. 容忍，带有，生育，产生,I'm scared of the bear--don't let it get near me!,我怕熊，别让它靠近我！
Unit1,confirm,v. 确认，证实，批准,I'll confirm that I want to buy this shirt online.,我会确认我想在网上买这件衬衫。
Unit1,decline,v. 衰退，下降；拒绝n. 衰退，下降,Ordinary people's incomes have been declining every year in many Western countries.,在很多西方国家，普通人的收入每年都在下降。
Unit1,mammal,n.哺乳动物,Dogs are man's favorite mammal.,狗是最受人类喜爱的哺乳动物。
Unit1,extinction,n.熄灭，灭绝，消失,"After the extinction of the dinosaurs, mammals came to rule the Earth.",恐龙灭绝后，哺乳动物开始统治地球。
Unit1,species,n. 种类; 人类;  adj. 物种上的;  ,There are tens of thousands of different species of birds.,（全球）有成千上万种各不相同的鸟。
Unit1,ape,n.无尾猿，类人猿；模仿者；粗野的大汉,"The orangutan is a highly intelligent, and endangered, ape.",类人猿是一种濒临灭绝的高智商猿。
Unit1,advance,v. 提升，提前n. 前进，增长，接近,I'd like to advance as high up in this company as possible.,我想在这座公司里尽可能地爬高。
Unit1,existence,n. 存在;  持续存在;  发生;  生存;  生活方式;  存在物;  ,Do you believe in the existence of dragons?,你相信龙的存在吗？
Unit1,the Arctic,北极区,The Arctic climate is cold even for a bear.,熊也会觉得北极地区的气候很冷。
Unit1,smuggle,"vi. 走私, 非法偷运;  vt. 走私, 非法偷运;  ", He smuggled the phones by concealing them underneath his coat. ,他走私手机的方式是把它们藏在外套下面。
Unit1,fierce,adj. 凶猛的;  猛烈的;  狂热的;  ,Male animals can be fierce when they fight over females.,当雄性动物为了雌性动物而打架时，它们会变得异常凶猛！
Unit1,livestock,"n. 家畜, 牲畜;  ","The livestock provide farmers with meat, milk and wool.",家畜为农夫提供肉、奶和羊毛。
Unit1,hemisphere,n.(地球的)半球；大脑半球,"A hemisphere is half of a sphere, or ball.",半球就是半个球体，或球形。
Unit1,pack,,Make sure to pack all your clothing for the trip!,确保打包好所有你这次旅行需要的衣服。
Unit1,habitat,n.自然环境，栖息地,A polar bear's habitat is Northern ice and snow.,北极熊的栖息地在冰天雪地的北极。
Unit1,consequently,"adv. 结果, 因此, 所以;  ","She's exercising more, and consequently she's losing weight.",她做了更多的运动，因此她体重减轻了。
Unit1,race,n.(速度上的)比赛；人种；种族　v.全速进行；(使)比速度；竞赛,It was fun participating in the race.,参加赛车真的很好玩。
Unit1,initiate,v.开始，发动n.新加入组织的人,The man initiates the race by firing a gun.,这个人鸣枪发起竞赛。
Unit1,threaten,"vi. 威胁, 恐吓;  vt. 威胁, 恐吓;  预示…的恶兆;  ", He threatened me and asked to stay back after school.  ,他威胁我，让我放学后别走。
Unit1,resemble,v. 相像; 相似; 类似;,My dog resembles a brown mop.,我的狗像一根棕色的拖把。
Unit1,objective,n.目的，目标adj.客观的，真实的，宾语的,The objective behind the business is very clear.,这单生意的目标是很明确的。
Unit1,serve as,可用作；可当……使,"Although chopsticks are used to eat, they can also serve as interesting hair decorations. ",尽管筷子是用来吃饭的，他们也可用作好玩的头发装饰物。
Unit1,proof,n.证据，证明，校样v.校验,We have proof that you're sick.,我们有证据表明你生病了。
Unit1,cub,n.幼兽，年轻无经验的人,The two bears got married and eventually had a young cub together.,那两只熊结了婚，后来有了一只小熊崽。
Unit1,indeed,adv.真正地；确实,"My coworkers told me that I did, indeed, do a good job.",我的同事告诉我真的干得不错！
Unit1,adaptable,adj.适合的；能适应的；可修改的,Humans are so adaptable that they can live even in the coldest places.,人类的适应能力很强，因此他们甚至能够居住在最冷的地方。
