Units,words,mean_cn,sentence,sentence_tra
Unit3,wavy,adj.波浪形的，起伏的,The graphic artist designed a background image with colorful wavy lines.,平面设计师设计了一个带彩色波浪线的背景图。
Unit3,damp,adj.潮湿的，有湿气的,London is damp and wet.,伦敦很潮湿。
Unit3,try out,phr. 试验;,"I'm not sure if my new death ray works, so I'm going to try it out on you.",我不确定新的致命射线是否起作用，所以我想在你身上试验一下。
Unit3,marble,n.大理石，(游戏用的)玻璃弹子,Things made out of marble stone are pretty.,用大理石制作的东西很漂亮。
Unit3,stare,v.盯，凝视,I don't know why that strange man is staring at me.,我不知道为什么那个陌生人一直盯着我。
Unit3,tomb,n.坟，冢v.埋葬,There were thousands of soldiers in the Emperor's tomb.,秦始皇坟墓里面有成千上万的兵马俑。
Unit3,missile,n.投射出的物体或武器，导弹,These missiles can hit targets thousands of kilometers away.,这些导弹能从几千公里外击中目标。
Unit3,hold one's breath,不出气，屏住呼吸,I can hold my breath for 47 seconds. Watch me.,我能憋气47秒，看我。
Unit3,pain,n.痛，痛苦；努力，劳苦,I am feeling some pain in my head.  ,我觉得头有点疼。
Unit3,cloth,n.布；衣料；桌布,This cloth has a beautiful design. ,这匹布设计得很漂亮。
Unit3,shore,n.滨，岸,Serene and calm sea shores are perfect for a holiday.,清澈而平静的海滨对于度假来说再完美不过。
Unit3,emphasise,v.强调,I want to emphasise how important it is for us to use teamwork.,我想要强调团队合作对我们来说多么重要。
Unit3,loch,n. 湖；狭长的海湾,They say a monster lives in this deep Scottish loch.,他们说苏格兰的这个深湖里住着一只湖怪。
Unit3,character,n. 性格，品质；特性；角色；字符，字体,This superhero cartoon character can repair anything.,这个超级英雄卡通人物能修理任何东西。
Unit3,detail,n.细节；详情v.详述,"When the leaf is seen up close, you can see a lot of fine details.",近距离看树叶时，你可以看到很多的细节。
Unit3,jewellery,"n.珠宝, 镶嵌有宝石之饰物",You look ridiculous when you wear too much jewellery .,当你带着太多珠宝时你看起来很可笑。
Unit3,insect,n. 昆虫,I think beetles are the prettiest insects.,我觉得甲虫是最美的昆虫。
Unit3,bat,n.蝙蝠；球棒，球拍,I am really afraid of bats. ,我真的很害怕蝙蝠。
Unit3,straight,adj. 直的；正直的adv. 直接地；不断地；立即 ,This road is very straight. ,这条路很直。
Unit3,garbage,n.垃圾，污物,Make sure to take out the garbage.,记得倒垃圾。
Unit3,pipe,n.管子，导管，烟斗，笛,"These pipes are made of plastic, so they are very light.",这些管子是塑料做的，所以它们非常轻。
Unit3,fold,,I folded the paper and kept it in my pocket.,我折了折这张纸，把它放入了我的衣服口袋。
Unit3,youth,n.青春；青年们；青年,I don't like the music the youth listen to these days.,我不喜欢现在这些青年人听的音乐。
Unit3,valuable,adj.贵重的，有价值的n.(复)贵重物品,My grandfather left me valuable jewelery.,我的祖父留给我了贵重的珠宝。
Unit3,offering,n. 提供；祭品；奉献物；牲礼,Consider this ring as a peace offering.,请把这个指环当做和解信物吧。
Unit3,exhibition,n.展览，展览会，陈列,The art gallery had an exhibition of my photos.,这个艺术画廊有一个我的摄影作品展览。
Unit3,curtain,n.窗帘，幕(布)v.装帘子，遮掉,I could see his hand as he moved into position behind the curtain.,当他移动位置到幕布后面时我可以看到他的手。
Unit3,air conditioner,"n.空调, 空调设备",How could our air conditioner break down right at the beginning of the heat wave?!,空调怎么能在热浪袭来时坏掉呢？
Unit3,mercy,n. 仁慈；宽恕,"I know I've been bad, but please have mercy on me!",我知道是我不好，但请宽恕我！
