Units,words,mean_cn,sentence,sentence_tra
Unit3,physical,adj.自然的；物质的；物理的；身体的n. 体格检查,Physical exercise is good for the body and the mind.,体育锻炼有益身心健康。
Unit3,frequent,"adj. 时常的, 频繁的;  ",Why are his questions so frequent?,为什么他提出的问题这么频繁？
Unit3,content,"n. 内容, 目录;  满足;  adj.  满足的;v.  使满意",You can get a brief idea of a book from the table of contents.,你可以从目录页了解一本书的大致内容。
Unit3,responsibility,n. 责任，负担,We have a responsibility to take care of our parents.,我们有责任照顾父母。
Unit3,jam,n.阻塞，果酱v.(使)阻塞，使塞满,The mall is jammed with people.,商场挤满了人。
Unit3,crossing,,"It's a busy street, so you should cross at the crossing.",这是条繁忙的大街，你必须走人行横道过马路。
Unit3,likely,adj.有可能；可信的；适合的adv.很可能,"If you see dark clouds, it's likely that it will rain.",如果你看到乌云，可能会下雨。
Unit3,figure,n. 体型；人物；形状；数字v.想出，估计，计算出,I maintain my figure by eating well and exercising.,我通过合理膳食和锻炼保持身材。
Unit3,centigrade,adj. 百分度的;  摄氏的;  n. 摄氏度,Flowers would be nicely treated at 25 degrees centigrade.,25摄氏度对花朵（的生长）有益。
Unit3,bicycle,n.自行车，脚踏车 ,We will ride bicycles up the mountain. ,我们将要骑车上山。
Unit3,amount,,He made a huge amount of money.,他挣了一大笔钱。
Unit3,reliable,"n. 可靠的人;  adj. 可靠的, 可以信赖的;  ",I hope the guy holding this rope is reliable.,我希望攥着绳子的这家伙是可靠的。
Unit3,bone,n. 骨头,The doctor used an X-ray to look for any damage to my bones.,医生用X光来检查我骨头的损伤。
Unit3,shopping,n.购物,"I don't usually like shopping, but when there are sales, I buy everything!",我通常不喜欢购物，但打折的时候我什么都买！
Unit3,timetable,n.时间表，时刻表,Please give me the timetable for the flights. ,请给我航班时刻表。
Unit3,neighbourhood,n. 邻里情谊;  邻近的地区;  地区;  社区;,I live in a friendly neighbourhood where everyone knows each other.,我住在一个友好的社区里，那里每个人都互相认识。
Unit3,hopeful,adj.有希望的；怀有希望的,We are hopeful that the baby will be healthy. ,我们希望婴儿出生健康。
Unit3,go up,phr.上升; 被建立; 被炸毁;,This elevator is going up.,电梯正在上升。
Unit3,rely on,依靠,I rely a lot on my daughter's help.,我很依靠女儿的帮助。
Unit3,work out,phr. 计算出; 锻炼; 计划; 解决;,It didn't take long for the teacher to work out the math problem on the board.,老师不用花很长时间就能在黑板上解出这道数学题。
Unit3,insert,"n. 插入物;  插页;  vt. 插入, 嵌入;  ",Just insert your credit card into the ATM and you will receive your money shortly.,只要把卡插进取款机你就能很快取到钱了。
Unit3,plus,prep.加，加上 adj.正的n.加号,One plus one equals two... Hopefully you knew that.,1+1=2，希望你能懂这个。
Unit3,petrol,n. 石油 ;  vt. 加汽油;  ,There is no convenience stores at this petrol station.,这家加油站里没有便利店。
Unit3,minibus,n.面包车,Let's take the minibus there; it's much more convenient.,我们坐面包车过去吧？那要方便得多。
