units,words,mean_cn,sentence,sentence_tra
Unit3,technological,adj. 技术的，工艺的,Technological progress has made all of our lives better.,技术进步让我们的生活变得更美好。
Unit3,programmer,n. 程序师; 程序规划员;,The programmer is writing code.,程序员正在写代码。
Unit3,universal,"n. 一般概念;  adj. 全体的;  宇宙的, 普遍存在的;  通用的;  ","With remarkable development of technology, electronic devices are universal now.",随着科技的日新月异，电子设备现在已经得到了普及。
Unit3,character,n. 性格，品质；特性；角色；字符，字体,This superhero cartoon character can repair anything.,这个超级英雄卡通人物能修理任何东西。
Unit3,coach,v. 训练，指导n. 四轮大马车，教练；长途汽车,My fitness coach teaches me how to exercise.,我的塑形教练教我如何锻炼。
Unit3,anyhow,adv.不论用何种方法，无论如何；随意地；尽管如此,"It was raining, but we went outside anyhow.",尽管外边在下雨，我们还是出去了。
Unit3,analytical,adj.分析的，分析法的,You can use an analytical approach to solve most complex problems.,你可以用分析法来解决大部分复杂问题。
Unit3,calculator,n.计算器，计算者,Our teacher let us use our calculators on the math test.,老师允许我们在数学考试上用计算器。
Unit3,mobile,n.可动物体，活动装置；手机adj.可移动的，流动的；多变的,We call it a 'mobile phone' because you can take it anywhere you want.,我们叫它“移动电话”，因为你可以带着它去任何你想去的地方。
Unit3,mathematical,adj.数学的；精确的，复杂的；概率低的,She is good at solving mathematical puzzles.,她很擅长解答数学难题。
Unit3,mop,,Use this mop to clean the floor.,用这个拖把来清洁地板。
Unit3,total,adj. 完全的；整个的，总体的v.总计,The total cost comes to five hundred dollars. ,总价是500美元。
Unit3,human race,人类,The human race has evolved over millions of years.,人类已经进化了数百万年。
Unit3,with the help of,在……的帮助下,"With the help of my friend, I managed to do my maths homework.",在朋友的帮助下，我成功做完了数学作业。
Unit3,logically,adv. 逻辑上；合逻辑地；有条理地,You have to think logically to solve this puzzle.,为了解决这个谜题，你不得不有条理地思考。
Unit3,web,n.网，蜘蛛网,The spider makes a beautiful web.,蜘蛛织了张漂亮的网。
Unit3,chip,"n. 木屑, 碎片;  缺口;  圆形筹码;  芯片;  vi. 碎裂;  vt. 削, 凿;  将…削成、凿成;  ",There are many wood chips on the floor.,地板上有很多木屑。
Unit3,artificial,adj.人造的，假的，非原产地的,Maybe in a hundred years there will be artificial life.,也许一百年后会有人造生命。
Unit3,android,n. 人形机器人;  ,He fell in love with a sexy female android.,他爱上了一个性感的女机器人。
Unit3,abacus,n.算盘,The Ancient Chinese used the abacus to calculate.,古代中国人用算盘计算。
Unit3,Mars,n.火星,Mars is the fourth planet from the sun. ,火星是距离太阳第四近的星球。
Unit3,arise,v.出现，由…引起，起床,He arises at 7 AM every morning.,他每天早上7点起床。
Unit3,finance,,We need to finance our business with lots of outside money.,我们需要大量外部资金来支持生意。
Unit3,calculate,vi. 计算;  估计;  vt. 计算*;  估计;  计划;  ,Let's calculate the final amount.,我们来计算一下最终的量吧。
Unit3,teammate,n. 队友，同队队员,We teammates sat together waiting for the game to begin.,我们队友坐在了一起等待比赛开始。
Unit3,application,n.运用；申请；应用程序,I use many applications on my cell phone and PC.,我在手机和电脑上使用很多应用程序。
Unit3,sum,n.总数；金额v.共计,The sum of one and one is two. ,一加一和等于二。
Unit3,happiness,n.幸福，快乐,"There's no greater happiness than knowing that there is someone who loves you, and always will.",没有什么能比知道一个人爱着你并且永远如此更让人感到幸福了。
Unit3,download,n.& v. 下载,I use my computer to download apps for my phone.,我用电脑给我的手机下载应用程序。
Unit3,totally,adv.完全地,It was a bad idea to let my girlfriend borrow my car because now it's totally wrecked.,把车借给我女友绝对是个坏主意，现在车报废了。
Unit3,rocket,n.火箭,The red rocket is flying over the clouds.,这枚红色的火箭冲上云端。
Unit3,tube,n. 隧道；管子，管道；地铁,We use these stainless steel tubes to pump dangerous chemicals through.,我们用这些不锈钢管来引流一些危险的化学制品。
Unit3,goal,n. 目标，球门，终点，(进球)得分,His only goal was to win the football game.,他唯一的目标就是赢得足球比赛。
Unit3,explore,v.探险，探索，尝试,I'd love to be the first to explore another planet.,我想成为探索其他星球的第一人。
Unit3,logical,adj. 有逻辑的;  合情合理的;  推理正确的;  ,Chess is an ideal game to train your children's logical thinking.,国际象棋是一种训练你孩子逻辑思维的理想游戏。
Unit3,electronic,adj. 电子的;  利用电子系统的;  用电子操控的,The DJ played electronic music at the party.,DJ在聚会上放电子音乐。
Unit3,niece,n.侄女，外甥女,The three aunts liked to be with their niece.,这三位姑妈喜欢和她们的侄女在一起。
Unit3,naughty,adj.顽皮的，淘气的,Jim is really naughty! He should be punished. ,吉姆真的很淘气！他应该受到惩罚。
Unit3,intelligence,n.智力，理解力，情报,I've never met anyone with such intelligence!,我从没有见过那么聪明的人！
Unit3,appearance,n.出现，外貌，露面,I'm more interested in your personality than your appearance.,相对于你的长相，我更在意你的品格。
Unit3,deal with,phr. 处理; 研究;,The workers are hired to deal with the garbage. ,工人们被请来处理这些垃圾。 
Unit3,type,n.类型v.作为代表，打字,"I never learned to type very quickly, so it takes me a long time to write an email.",我从没学过快速打字，所以写这封电子邮件花了我很长时间。
Unit3,solve,v.解答，解释，解决,I will solve this math problem in a minute.,我马上就能解出这道数学题。
Unit3,personal,adj.个人的，私人的,She hired a personal trainer for better results.,为了更好的训练效果，她雇了一个私人教练。
Unit3,technology,n. 技术，工艺,Technology is progressing at a rapid pace. ,科技发展日新月异。
Unit3,signal,n. 信号v. 发信号；标志,"When the traffic signal turns red, we should stop.",红灯亮，我们就该停下了。
Unit3,operator,n.操作人员，(电话)接线员,Ask for the operator--she'll know the right phone number.,询问接线员，她会知道正确的号码。
Unit3,virus,"n. 病毒;  毒害, 毒素; 病毒性疾病; ",This virus has been making me cough all week.,这病毒已经让我咳嗽一整个星期。
Unit3,revolution,n. 革命；旋转,The protests started a revolution. ,这些抗议者开始了一场革命。
Unit3,network,n. 网状物;  网络;  vi. 建立关系网;  vt. 联播;  使联网;  ,The internet is basically a network of billions of computers.,互联网其实就是连接数十亿台电脑的网络。
Unit3,laptop,n.笔记本电脑,I can take my laptop with me anywhere.,我可以随处带着我的笔记本电脑。
Unit3,reality,n.现实，实际；真实,"Their actions were friendly, but in reality they hated each other.",表面上他们彼此很友好，但是实际上却相互仇恨。
