Units,words,mean_cn,sentence,sentence_tra
Unit3,whale,n. 鲸,Did you see the whale jump out of the water?,你看见鲸跃出水面了么？
Unit3,confident,"n. 知己, 心腹;  adj. 确信的, 深信的, 自信的;  自以为是的;  ",The girl was confident that she could defeat all the other players.,小女孩儿自信能够打败所有其他选手。
Unit3,social,adj.社会的；交际的，社交的,Humans are social animals who need the support of others.,人类是需要别人支持的社会性动物。
Unit3,sightseeing,n.观光；游览,We love sightseeing.,我们喜欢观光。
Unit3,fee,n.费用，酬金,Thank you for your help - here's your fee.,谢谢你的帮助，这是给你的酬金。
Unit3,amaze,v.使惊奇,This news really amazes me!,这条消息真的让我感到很吃惊！
Unit3,disappointed,adj.失望的,He was disappointed that his favorite football team lost.,他很失望，因为他最喜欢的足球队输了。
Unit3,user,n.用户，使用者,I'm a regular user of this website.,我是这个网站的老用户。
Unit3,programming,n. 【计算机】编制程序; 设计; 规划;   ,"If you think you are going to learn programming in an IT class, you are wrong.",如果你认为在电脑班能学会如何编程，你就大错特错了。
Unit3,evolve,v.使进化；使发展,"Even today,the human race continues to evolve - or maybe devolve.",即使在今天，人类仍然在不断进化，或者说退化。
Unit3,power-free,adj.不用电的,"This simple cabin is power-free, a nice place for a relaxing holiday away from electricity.",这个简单的小屋是不用电的，是一个让人在假期远离电力来放松的地方。
Unit3,disabled,adj.伤残的；有残疾的；丧失能力的,There's no way a disabled person can get up those stairs!,残疾人没办法上楼梯。
Unit3,3-D,n. 立体的电影或图象adj. 立体的；三维的 =3D； three-D.,You need special glasses to watch a 3-D movie.,你需要特殊的眼镜才能看3D电影。
Unit3,disadvantage,n.不利，不利地位，弱点；弊端,The one ant is at a disadvantage against so many others.,这一只蚂蚁在和其他许多蚂蚁的对抗中处于劣势。
Unit3,sunlight,n. 日光，阳光 ,The sunlight brightens the green field.,阳光照亮了绿地。
Unit3,planning,n.规划；计划编制v. 计划；设计；预期（plan的ing形式）,Planning for retirement will help this husband and wife live well in the future.,规划退休生活能帮助这对夫妇在未来好好生活。
Unit3,accuse,"vi. 指责, 指控;  vt. 指责, 控告, 把…归咎于, 使暴露;  ",They accused each other of being wrong.,他们相互指责对方做错了。
Unit3,urban,adj.城市的,I like to party so I prefer urban environments.,我喜欢派对，所以我更喜欢城市的环境。
