Modules,words,mean_cn,sentence,sentence_tra
Module6,focus,,Make sure your subject is in focus before taking the photo.,拍照前要确保你的物体对焦。
Module6,branch,n.树枝；分支(学科)；部门 ；办事处,I climbed a rope tied around a tree branch.,我沿着捆绑在树枝上的绳子爬上去。
Module6,skin,n.皮肤，兽皮，外皮v.剥皮，去皮,Her skin is very clear. ,她的皮肤很光洁。
Module6,wildlife,,Africa has some of the most interesting wildlife in the world.,非洲有不少世界上最有趣的动物。
Module6,lay,v. 放；躺 ；放置，安置，下蛋,Lay down with me.,和我一起躺下吧。
Module6,bald,adj.秃头的,"Wait, why am I combing my hair?--I'm bald, I don't have any hair.",等等，我为什么要梳头？我是秃头，我根本没有头发。
Module6,mammal,n.哺乳动物,Dogs are man's favorite mammal.,狗是最受人类喜爱的哺乳动物。
Module6,habitat,n.自然环境，栖息地,A polar bear's habitat is Northern ice and snow.,北极熊的栖息地在冰天雪地的北极。
Module6,poacher,n.侵入他人地界偷猎者,We need to protect animals from being killed by poachers.,我们需要保护动物不被偷猎者捕杀。
Module6,involve,v.牵涉；卷入；涉及； 包含,All parts of the machine are involved with each other.,机器的所有部分都环环相扣。
Module6,worth,n. 价值，财产adj. 值钱的,My house is worth two hundred thousand dollars.,我的房子值二十万美元。
Module6,protect,v. 保护；警戒,We need to protect this plant - it's very rare.,我们需要保护这株植物，它非常稀有。
Module6,endanger,"vt. 危及, 危害;  ",We endanger pandas by destroying their habitat.,我们毁坏了熊猫的聚居地，使它们的生存处于危机之中。
Module6,stand for,代表，象征,The Statue of Liberty stands for freedom and a better life for immigrants.,自由女神像是自由和移民们想要的好生活的象征。
Module6,dealer,n. 经销商，商人,The car dealer gave us a great deal on our new car.,汽车经销商在我们买这辆新车时给了我们很大的优惠。
Module6,herd,n.兽群，牧群v.放牧,The herd of sheep was very large--it had hundreds of sheep.,这队羊群很庞大，有成百上千头绵羊。
Module6,whale,n. 鲸,Did you see the whale jump out of the water?,你看见鲸跃出水面了么？
Module6,plateau,n.高原，平稳的状态,The Tibetan Plateau is a beautiful but harsh place.,青藏高原是个美丽但环境恶劣的地方。
Module6,confiscate,v.没收，充公,"I'm confiscating your phone for using it in class. You're only 8, who are you calling anyway?",你在课堂用电话，我给你没收了。你才8岁，打电话给谁呢？
Module6,continent,n. 大陆，洲adj.克制的，禁欲的,The world has 7 continents.,这个世界有七个大洲。
Module6,feed on,phr. 以...为食;,I like to feed on whatever my master feeds me.,我喜欢吃我的主人给我的任何食物。
Module6,spot,n. 斑点；污点v. 发现，认出,The artist made a pattern of blue spots on the white wall.,艺术家在白墙上弄上了蓝色斑点。
Module6,energy,n.能量；能源；活力；精力；能,We must find new forms of energy.,我们必须找到新型的能源。
Module6,initial,"n. 首字母;  adj. 开始的, 最初的, 第一的;  ","The initial letter of ""aardvark"" is ""A"".",“aardvark（非洲食蚁兽）”的首字母是“a”。
Module6,extinction,n.熄灭，灭绝，消失,"After the extinction of the dinosaurs, mammals came to rule the Earth.",恐龙灭绝后，哺乳动物开始统治地球。
Module6,waste,v.浪费；消耗adj.无用的；废弃的；荒芜的n.浪费；废物,I can't believe how much waste we produce. ,我简直不能相信我们制造了多少垃圾。
Module6,ibis,n.朱鹭,I've never seen a bird quite like the ibis.,我从没见过像朱鹭这样的鸟。
Module6,aim,v. 瞄准；旨在n. 目标；对准,Aim a little above the target if you want to hit it.,如果你想击中靶子，在瞄准的时候往上一点。
Module6,raid,n.突然袭击,The police raid caught us by surprise.,警察的突然袭击意外地抓到了我们。
Module6,reserve,n.储备，后备，保护区v.储备，保留，预定,The store keeps a large reserve in case prices suddenly go higher.,仓库保持大量库存以防物价突涨。
Module6,ideal,"n. 理想;  典范;  最终目的;  adj. 理想的, 完美的;  想像的;  ",Her ideal weight is about twenty kilos lighter.,她理想的体重是大约轻20公斤。
Module6,shawl,n.披肩，围巾,It's in their tradition to wear a shawl over their head.,戴围巾遮住头部是她们的传统。
Module6,extinct,"adj. 灭绝的;  破灭了的, 消亡了的;  ",Dinosaurs have been extinct for millions of years.,恐龙在几千万年前就已经灭绝。
Module6,antelope,n. 羚羊；羚羊皮革,African antelopes can run very fast if they have to.,在不得已的情况下，非洲羚羊能跑得非常快。
Module6,condition,n.状况，状态；疾病，症状 [pl.]环境，形势，条件,You shouldn't smoke if you have a heart condition.,你如果心脏不好的话不该抽烟。
Module6,brink,n. (尤指崖边)边缘;  ,Be careful on the brink--you might fall off.,在（悬崖的）边缘的时候要小心，你可能会跌下去。
Module6,meanwhile,adv. 同时; 其间;n. 其间; 其时;,"The hare decided to take a rest; meanwhile, the tortoise kept moving.","野兔决定歇一会儿,但同时乌龟还在继续爬。"
Module6,struggle,,It was a long struggle to get to the top of the mountain. ,爬上山顶这可真是漫长的挣扎啊。
Module6,monitor,,"I want a new, flat screen computer monitor.",我想要一个新的纯平电脑显示器。
Module6,wonder,,The Great Pyramids are one of the wonders of the ancient world.,大金字塔是世界古代奇迹之一。
Module6,battle,n.战役；斗争v.作战,The battle between good and evil never ends.,正义与邪恶的斗争从未结束。
Module6,reptile,n.爬行动物，爬虫adj.爬行的，爬虫类的,Crocodiles are the biggest and deadliest reptiles.,鳄鱼是最大、最危险致命的爬行动物。
Module6,live,v.居住；活adj.活的，直播的；现场的 ,We live together because we're a family.,因为我们是一家人，所以住在一起。
