Units,words,mean_cn,sentence,sentence_tra
Unit3,hiking,n. 徒步旅行,I love hiking through mountains and deserts.,我爱徒步穿越山峰和沙漠。
Unit3,strait,,The strait between the island and mainland is only 200 meters wide.,大陆和小岛之间的海峡有200米宽。
Unit3,various,adj.各种各样的，不同的,We saw various types of fish during our dive.,在潜水时我们看到了各种各样的鱼。
Unit3,cuisine,n.烹饪；菜肴 ,What kind of cuisine does this restaurant serve?,这家饭店提供哪种菜肴？
Unit3,coach,v. 训练，指导n. 四轮大马车，教练；长途汽车,My fitness coach teaches me how to exercise.,我的塑形教练教我如何锻炼。
Unit3,heritage,n. 遗产; 继承物; 传统; 文化遗产;  ,The building is the symbol of our culture heritage. ,这个古建筑是我们文化传统的象征。
Unit3,dozen,n.一打，十二个,A dozen eggs now costs twenty dollars--how expensive!,一打鸡蛋现在要20美元！好贵啊！
Unit3,profit,,Profits have increased year on year.,利润连年增长。
Unit3,promote,v.促进，提升；发扬；促销,"She was very good at her job, so her boss promoted her to a higher position.",她工作表现很棒，所以她的老板把她升到了更高的位置。
Unit3,luxurious,adj.奢侈的，豪华的,My apartment cost me a lot - I hope you find it sufficiently luxurious.,我的公寓花了我一大笔钱- 我希望你觉得它足够奢华。
Unit3,parachute,n. 降落伞,The fox uses a parachute to descend.,这只狐狸用降落伞来下降。
Unit3,put off,推迟,"I was supposed to do my work on the third, but I put off working until the fourth.",我应该在三号做我的工作，但是我推迟到了四号。
Unit3,arcade,n.拱廊；有拱廊的街道；街机游戏机；游乐场所,The young boys spent the whole day playing games at the arcade. ,这个年轻的男孩在街机上玩儿了一整天了。
Unit3,annual,n. 年鉴;  一年生植物;  一年一度的事件;  adj. 一年一次的;  年度的;  全年的;  ,2012's annual budget has been prepared by the government.,2012年的年度预算已经被政府筹备好了。
Unit3,excursion,n.远足；短途旅行,We took an excursion into the forest.,我们去森林远足了。
Unit3,overseas,adj.外国的，海外的　　adv.在海外,We export the goods overseas.,我们把货物出口到海外。
Unit3,parasailing,n. (由汽船、汽车等牵引在空中滑翔的)帆伞运动 动词parasail的现在分词形式.,I love parasailing over the water with my parachute.,我爱带着帆伞划过水面的感觉。
Unit3,nervous,adj. 紧张的，神经的,I don't think I studied enough for the exam. I'm feeling very nervous about it.,我觉得这个考试我准备得还不够，我还是感觉很紧张。
Unit3,put up with,忍受,She couldn't put up with his loud snoring every night.,她无法忍受他每晚巨响的鼾声。
Unit3,term,n.学期；术语v.把…称为；把…叫做 ,They are learning science this school term.,他们这学期学习科学课程。
Unit3,acre,n.英亩(=6.07亩) ,"As a farmer, I own acres and acres of land.",作为一个农民，我拥有很多亩土地。
Unit3,primary,adj.基本的，首要的，主要的n.首选，（美）初选,Young children play at their primary school.,小朋友在小学（最初上的学校就是小学）玩耍。
Unit3,conservation,n.保护，保存，维持,Conservation of our environment is very important.,保护环境很重要。
Unit3,attraction,n.吸引，吸引力，具有吸引力的事物(或人),"As soon as we met, there was an instant attraction between us.",我们一见面，我们之间瞬间就有一种吸引力。
Unit3,annoying,adj.讨厌的；恼人的,The constant crying of our neighbor's baby is starting to get annoying.,邻居家宝宝持续不断的哭声开始变得特别烦人了。
Unit3,consciousness,n.意识，知觉；觉悟,He lost consciousness after drinking too much.,他喝得太多，失去了知觉。
Unit3,form,n.形状，表格；形体v.形成,You can walk quicker and easier if your movements have correct form.,如果你的动作正确，你就能走得更快更轻松。
Unit3,whirlpool,"n. 漩涡;  混乱, 纷乱;  ",We barely managed to get out of the whirlpool.,我们差点就没从漩涡里出来。
Unit3,ecological,adj.生态的，生态学的,Ecological balance should be maintained by all.,所有人都应该维持生态平衡。
Unit3,windsurfing,n. 风帆冲浪运动,Windsurfing is so much fun!,风帆冲浪运动真有趣！
Unit3,preservation,n. 保存，保护,Preservation of greenery is a must for the welfare of mankind.,为了全人类的福利，保护绿色植物是必须的。
Unit3,bet,v.打赌，敢断定n.打赌,"I made a huge bet in the game but I lost, and now I have no money...",我在赌局中打了很大一个赌，但我输了，现在我没钱了。
Unit3,get together,phr. 聚会; 收集;,The whole family got together for my birthday.,全家人为庆祝我的生日聚在一起。
Unit3,rural,adj.乡村的，农村的，田园的,Rural areas are so much prettier than cities.,乡下地方比城市美多了。
Unit3,absorb,"vt: 吸收, 吸引…的注意, 理解, 承受;  ",Sponges can absorb a lot of water.,海绵可以吸收很多水分。
Unit3,era,n.时代，年代；纪元,Taste in clothes changes with every era.,每个时代对于衣服的品味都在改变。
Unit3,reserve,n.储备，后备，保护区v.储备，保留，预定,The store keeps a large reserve in case prices suddenly go higher.,仓库保持大量库存以防物价突涨。
Unit3,flu,n.流感,I'll have to stay home from work today--I have the flu.,我不得不请假在家，我得了流感。
Unit3,get over,phr. 克服; 恢复; 熬过; 原谅;,"It's been a year, and he still won't get over his breakup.",已经一年了，他仍然没有从他的分手中恢复过来。
Unit3,ecology,n.生态；生态学,We should protect the native ecology.,我们应该保护原生生态。
Unit3,declare,vi. 声明;  表态;  vt. 表明;  宣布;  强调;  显示;  ,I now declare this meeting open.,我现在宣布会议开始。
Unit3,typically,adv.代表性地；典型地,"If someone's skating on a canal by a windmill, typically they're in Holland.",假如有人在运河上滑雪，还路过风车，通常情况下他们多半是在荷兰。
Unit3,mountaineering,n.登山；登山运动,This mountaineering expedition uses ropes for safety.,为了安全，这次登山探险使用了绳索。
Unit3,photography,n.摄影，摄影术,"He has an office job, but his passion is photography.",他有一份办公室的工作，但他的兴趣是摄影。
Unit3,dozens of,几十,We eat dozens of eggs in a month.,一个月里我们吃了许多鸡蛋。
Unit3,enclosed,"adj. 被附上的；与世隔绝的v. 附上（enclose的过去式和过去分词）围绕, 装入, 放入封套",The little puppy is completely enclosed! I bet he feels safe.,这只小狗狗完全被包起来了！我想它一定感到很安心。
Unit3,take up,开始做；论及；继续,"I decided to take up the guitar as a hobby, even though I'm a little old for it.","我决定把吉他当爱好,虽然我现在学有点老。"
Unit3,tame,v.驯服，驯化 adj.驯服的，顺从的,"Don't worry, these cows are tame--they won't hurt you.",别担心，这些奶牛很温顺，他们不会伤害你。
Unit2,servant,n.仆人,"Their family is very rich, they have their own servant to serve them food and drinks.",他们家非常有钱，他们有自己的仆人来上菜和上饮料。
Unit2,point out,指出,My nerdy boyfriend likes to point out mistakes in the books I'm reading.,我那书呆子男朋友喜欢指出我正在读的书中的错误。
Unit2,priority,n. 优先; 优先权; 优先考虑的事; 重要事项 ;  ,My priority is to finish my homework then dinner. ,我得先做完作业才能吃晚餐。
Unit2,vote,,"As responsible citizens, it's our duty to vote.",作为有责任感的市民，投票是我们的责任。
Unit2,confine,v. 限制；禁闭,I am confined to my jail cell.,我被囚禁在监牢里了。
Unit2,concede,"vi. 让步;  vt. 承认;  容许, 让步;  ",He finally conceded defeat in the tennis competition.  ,他终于在网球比赛中认输了。
Unit2,responsibility,n. 责任，负担,We have a responsibility to take care of our parents.,我们有责任照顾父母。
Unit2,propose,v.提议；求婚,Daniel proposed marriage by getting down on one knee.,丹尼尔单膝跪地求婚。
Unit2,refute,vt. 驳斥,He had to refute the prostitute.,他得反驳那个妓女。
Unit2,manual,"n. 手册, 指南;  adj. 手的;  手制的, 手工的;  ","Wow, you can drive a manual transmission car?",哇，你能驾驶手动挡汽车？
Unit2,working,adj. 工作的；操作的；可行的n. 工作；活动；制作；操纵v. 工作；影响；受雇用（work的ing形式）,"Now that I'm a working man, I have to wear a suit every day.",现在我是个上班族了，不得不每天穿正装。
Unit2,status,n.地位；状态；身份,"Like many businesses, we take very good care of our high-status customers.",和其他商家一样，我们很重视高端客户。
Unit2,mention,n.谈到，提及v.提及，提名，推荐,I forgot to mention that tomorrow the office is closed.,我忘记说了，明天办公室不开。
Unit2,head,n.头；上端；领导人v.率领；前进；出发adj. 头的；主要的；在顶端的,My head aches - maybe I think too much...,头好痛，也许是我用脑太多了。
Unit2,well-argued,adj. 论证充分的,A lot of research and logical thinking went into the lawyer's well-argued legal paper.,那个律师的法律文件论证充分，含有许多调研和逻辑思考。
Unit2,argument,n.争论，辨论；论据，论点,We had an argument about which movie to watch. ,就为了到底看哪部电影我俩争论了半天。
Unit2,risky,adj.危险的,Isn't that a risky method of transportation?,这难道不是一种危险的交通方式吗？
Unit2,statistics,n. 统计学; 统计; 统计数字;  ,I use facts and statistics to prove my point.,我用事实和统计数字来证明我的观点。
Unit2,commit suicide, 自杀,He wanted to commit suicide because of all of the problems in his life.,由于生活中诸多不顺，他想自杀。
Unit2,burden,n.担子，负担，重担,Our homework burden is too heavy!,我们的课业负担太重了。
Unit2,phase,n. 方面，阶段，(月等的)变相，盈亏,The moon will pass through all of its phases in about one month. ,月亮在大约一个月的时间里会呈现所有月相的变化。
Unit2,weightlifting,n. 举重,The sport of weightlifting requires strength.,举重运动需要力量。
Unit2,urge,"n. 冲动, 欲望;  vi. 驱策;  力荐;  vt. 力劝, 敦促;  驱策;  ",During the race the rider urged the horse to go faster so he could win.,在比赛中，骑手为了赢得胜利，不断鞭策他的马加快速度。
Unit2,motion,n.运动，手势，提议,Martin was back in motion after his recovery.,马丁一痊愈就恢复了运动。
Unit2,sensible,adj.明智的,It's sensible to avoid drinking or smoking too much.,避免喝太多酒和抽太多烟是很明智的。
Unit2,pimple,n.丘疹，脓疱,"When I was a teenager, my face was covered with pimples.",当我还是青年的时候，我的脸长满了丘疹。
