units,words,mean_cn,sentence,sentence_tra
Unit3,ahead,,I am running ahead of the rest of the group. ,我跑得比这个组的其他人快。
Unit3,nightfall,n. 黄昏，傍晚，日暮,The birds rushed to get home before nightfall.,鸟儿们在黄昏之前赶回家。
Unit3,wander,v.漫游；蜿蜒；迷路；离题n.游荡； 闲逛； 失散,They wander slowly along the mountain path.,他们在山路上漫步。
Unit3,account for,解释，说明,How do you account for the problems we've had with your machine?,你们怎么解释你们机器出的问题？
Unit3,penniless,adj. 身无分文的，贫穷的,"I have a nice suit, but as you can see, I'm penniless.",虽然我穿着漂亮外套，但是如你所见，我身无分文。
Unit3,permit,"n. 执照;  vt. 允许, 许可;  ","Okay, I permit you to take the car out tonight.","好吧,我允许你今晚把车开出去。"
Unit3,in rags,衣衫褴褛,"He was poor and dressed in rags, but when he spoke, people listened.",他很贫穷，衣衫褴褛，但当他发言时，人们都认真听了。
Unit3,rag,n.破布，碎布,I need a soft rag to polish the coffee table.,我需要一些柔软的抹布来擦洗咖啡桌。
Unit3,on the contrary,与此相反；正相反,"One dog is very big: the other, on the contrary, is very small.",一只狗非常大：另一只正好相反，非常小。
Unit3,take a chance,冒险,I took a chance and balanced on the high rope.,我冒险在这个高空绳索上保持平衡。
Unit3,make a bet,打赌,"I had good cards, so I made a big bet.",我牌很好，所以我下了很大的赌注。
Unit3,stare at,盯着看；凝视,Why stare at me? Do I have something on my face?,为什么盯着我看？我脸上有什么吗？
Unit3,unpaid,adj.未付款的，不受报酬的 ,I have to go to court for all of my unpaid parking tickets. ,因为我所有的罚单都未付清，所以我必须得去一趟法院。
Unit3,amount,,He made a huge amount of money.,他挣了一大笔钱。
Unit3,fake,"n. 骗子;  假货, 赝品;  vi. 假装;  adj. 假的, 伪造的;  vt. 假造, 杜撰;  冒充, 假装;  ",His teeth fell out a long time ago; now all he has are fake teeth.,他的牙齿早就掉光了，现在他嘴里所有的牙都是假牙。
Unit3,passage,n.通道，（文章的）一节、一段,This passage leads all the way through the mountain.,这条隧道贯穿了这整座山。
Unit3,by accident,phr. 意外地; 偶然,I stepped on a banana peel by accident and fell down.,我不小心踩上了香蕉皮滑倒了。
Unit3,dessert,n. 甜点;  ,Do you want to have some ice cream for dessert?,你想来一些冰激凌当甜点吗？
Unit3,manner,"n. 方式;  举止;  风俗, 习惯;   规矩, 风度;  ",The doctor spoke in a manner that made children calm.,这个医生用一种能使孩子安心的方式说话。
Unit3,bring up,养育；呕出,A mother should bring up her child with love and care.,母亲应该用爱心和关怀来养育她的孩子。
Unit3,bow,,The singer bowed to us after the show.,演出结束后，歌手向我们鞠躬致谢。
Unit3,narrator,n. 叙述者；解说员,Bill was a born narrator who loved to tell scary stories.,比尔是个天生的故事大王，非常喜爱讲恐怖故事。
Unit3,contrary,n. 相反，对立面adj. 相反的，对立的，矛盾的,My sister is so contrary - she always disagrees with whatever I say!,我妹妹太叛逆了，我说什么她都不赞同。
Unit3,adventure,n.冒险，冒险活动；奇遇,Jumping off a mountain was part of his adventure.,他的惊险经历还包括从山上跳下！
Unit3,pineapple,n.凤梨，菠萝,Pineapples are my favorite fruit in the summer.,菠萝是我在夏天最喜欢吃的水果。
Unit3,phrase,"n. 简短的警句;  短语, 习语;  ","""Attitude is everything"" is a common phrase.",“态度决定一切。”是一句习语。
Unit3,bay,"n. 港湾, 海湾;  ",The bay cuts into the land and makes a perfect place to go swimming.,"这片海湾嵌入陆地, 使之成为绝佳的游泳场所。"
Unit3,businessman,n. 商人 ,"When I grow up I want to be a businessman, for the money.",等我长大我想成为商人，因为可以赚很多钱。
Unit3,envelope,n. 信封;  包装物;  外壳;  气囊;  极限数据;  膜;  ,I put his birthday card in an envelope.,我把他的生日卡片放进了一个信封。
Unit3,account,"n.  原因, 估价, 利益, 账户, 算账;  vi.  报账, 做出说明(或解释), 为…负责, 受罚;  vt:  认为, 考虑;  ",The bill was paid from my account.,我用我的账户支付了账单。
Unit3,Florida,n.佛罗里达（美国东南部的州）,I want to go to Florida this Summer to enjoy the hot weather. ,这个夏天我想去佛罗里达享受火热天气。
Unit3,unbelievable,adj.难以置信的,Her eyes opened wide when she heard my unbelievable story.,当她听到我那难以置信的故事，她瞪大了眼睛。
Unit3,seek,v.寻找，探索，试图,I will seek out an answer.,我会寻找一个答案。
Unit3,fault,,Oh no--it was all my fault!,"啊,不要!这全是我的错！"
Unit3,stare,v.盯，凝视,I don't know why that strange man is staring at me.,我不知道为什么那个陌生人一直盯着我。
Unit3,patience,n.耐心，忍耐,Fishing is a sport that requires a lot of patience. ,钓鱼是一项需要很多耐心的运动。
Unit3,issue,"n. 问题, 议题;  发行物;  vi. 发行;  vt. 发行, 发布;  使流出;  ",The issues found in my project made me frustrated\uff01,我项目中的一些问题让我头大！
Unit3,spot,n. 斑点；污点v. 发现，认出,The artist made a pattern of blue spots on the white wall.,艺术家在白墙上弄上了蓝色斑点。
Unit3,bet,v.打赌，敢断定n.打赌,"I made a huge bet in the game but I lost, and now I have no money...",我在赌局中打了很大一个赌，但我输了，现在我没钱了。
Unit3,embassy,n. 大使的使命;  大使馆;  大使馆全体人员;  特使;  重要使命;  ,The French embassy has a beautiful facade.,法国大使馆建得很漂亮。
Unit3,charity,n. 慈善，慈善团体，施舍,Rich people should always give charity to the poor.,有钱人应该常常捐助穷人。
Unit3,go ahead,走在前面，领先；干吧，干下去,The flag let us know when to go ahead and start the race.,这个旗子让我们知道什么时候发车开始比赛。
Unit3,birthplace,n.诞生地 ；发源地；故乡,The story says that the birthplace of Jesus was on a farm.,这个故事说耶稣的诞生地是一个农场。
Unit3,as for,"phr. 至于, 就…方面说;","As for our market share, it is going down.",就我们的市场份额来说，它正在下降。
Unit3,boyhood,n. 童年，少年时代；男孩们,He has many memories from his boyhood.,他有很多童年回忆。
Unit3,novel,n.小说，长篇故事adj.新奇的，不同的 ,She reads a Sherlock Holmes novel.,她看福尔摩斯的小说。
Unit3,indeed,adv.真正地；确实,"My coworkers told me that I did, indeed, do a good job.",我的同事告诉我真的干得不错！
