units,words,mean_cn,sentence,sentence_tra
Unit3,verbal,adj.言语的，口头的，动词的,Verbal communication is essential to human life.,口头交流对人类生活来说非常重要。
Unit3,brighten,v. 变亮；高兴快乐,That lamp can really brighten up a room.,那盏台灯真的可以点亮一个房间。
Unit3,content,"n. 内容, 目录;  满足;  adj.  满足的;v.  使满意",You can get a brief idea of a book from the table of contents.,你可以从目录页了解一本书的大致内容。
Unit3,depressed,adj.沮丧的；萧条的，低迷的,She was depressed after the breakup.,她分手后很沮丧。
Unit3,optimism,n. 乐观;  乐观主义;  ,His optimism always brings himself confidence and happiness.     .,他的乐观总会给他带来快乐和鼓励。
Unit3,convincing,adj. 有说服力的; 使人信服的;  ,Michael is a very convincing speaker.,迈克说话很具有说服力。
Unit3,amusing,adj. 有趣的；好玩的；引人发笑的,We laughed at her amusing story.,我们被她有趣的故事逗乐了。
Unit3,throughout,prep. 遍及;  adv. 到处;  ,Our company operates throughout the entire world.,我们公司的业务覆盖全世界。
Unit3,mime,n.小丑，笑剧，丑角，哑剧演员v.作摹拟表演,A mime creates an imaginary world through physical gestures alone.,小丑能仅用肢体语言创造出一个想象的世界。
Unit3,entertaining,adj. 令人愉快的,This couple is watching an entertaining movie. ,这对情侣正在看一场有趣的电影。
Unit3,feel/be content with,对……满足,We're all very content with our family life.,我们对家庭生活都非常满足。
Unit3,vast,adj. 巨大的；辽阔的,The universe is vast.,宇宙是巨大的。
Unit3,underdog,n. 弱势的一方；受害者，输家,The fight between David and Goliath ended in a victory for the underdog.,大卫和歌利亚的战斗以弱者的胜利告终。
Unit3,failure,n. 失败；失败者；破产,"If I can't increase sales, I'll be a failure!",如果不能增加销售额，我就是一个失败者！
Unit3,amuse,v.逗…笑，使娱乐,"At work, she amuses herself by playing around.",工作时，她会瞎折腾着找乐子！
Unit3,nonverbal,adj. 不使用动词的;  不使用语言的;  ,Sign language is a nonverbal way for deaf people to communicate.,手语是种方便聋哑人沟通的非发声语言。
Unit3,pick out,选出，找出，挑选,I went to the store to pick out a smart jacket for my interview.,我去商店为我的采访挑选了一件时髦的外套。
Unit3,enjoyment,"n. 享受, 享有;  乐趣;  愉快;  ",I feel so much enjoyment when I spend time with my son. ,和儿子一起的时候，我感到很愉快。
Unit3,costume,n.服装，剧装,The actors are in costume for the show.,演员们已经为表演穿好了剧服。
Unit3,mouthful,n.一口，满口,Eat up one more big mouthful - then you can have dessert!,再吃一大口，你就能吃甜食了！
Unit3,star in,担任主角；主演,We're starring in a  movie about well-dressed secret agents.,我们正在主演一部电影，是关于衣着华丽的秘密特工。
Unit3,entertain,v.招待，款待；使娱乐；使欢乐,Clowns entertained us at the circus.,在马戏团里，小丑逗我们开心。
Unit3,unfortunately,adv.遗憾的是，可惜的是，不幸的是,"Unfortunately, it's supposed to rain all weekend.",不幸的是，这整个周末可能都要下雨了。
Unit3,budget,n.预算v.预算，安排adj. 廉价的,Our budget for this year is too small for us to buy a house.,我们今年的预算太少了不够买房子。
Unit3,bored,"adj. 无聊的, 无趣的, 烦人的;",How can you be bored by something as interesting as ancient history? ,古代历史这么有趣，你怎么会觉得无聊呢？
Unit3,particularly,"adv. 格外地;  特别地, 尤其地;  ",All of us need to work harder - particularly our boss. ,我们所有人都需要更加努力工作，尤其是我们的老板。
Unit3,tramp,n.流浪汉，无业游民v.重步行走，踏，践踏 ,The tramp begs for money all day.,这个流浪汉每天都在讨钱。
Unit3,ordinary,adj.普通的，平常的，平凡的,I'm just an ordinary man.,我只是一个再平常不过的男人。
Unit3,lace,n. 花边；鞋带；饰带；少量烈酒v. 饰以花边；结带子,"Before you run, make sure your laces are tight.",跑之前确定鞋带已经系好了。
Unit3,cut off,phr. 切断,I think 'impossible' looks better if we cut off the 'im-'.,我觉得把“impossible”这个单词的“im-”去掉更好。
Unit3,fortunate,"adj. 幸运的, 侥幸的;  顺利的;  ",It's fortunate to find a four-leave clover. ,能找到一片四叶幸运草是件非常幸运的事。
Unit3,gesture,"n. 手势, 表情;  姿态;  vi. 做手势;  vt. 用手势表达;  ","Their ""thumbs up"" gesture meant that they liked it.",竖起大拇指的手势表示他们喜欢这东西。
Unit3,up to now,到目前为止,Our profits need to be much higher than they have been up to now.,我们的利润必须远远高于目前状况。
Unit3,humour,n. 幽默; 诙谐; 幽默感; 脾气; 心情;  vt. 迎合; 迁就; 使自己适应;  ,Women love men with a good sense of humour. ,女性喜欢有幽默感的男性。
Unit3,chew,v.嚼，咀嚼n.嚼碎,Please don't chew and speak at the same time.,请不要边吃边说话。
