Units,words,mean_cn,sentence,sentence_tra
Unit3,swallow,"n. 咽, 吞;  燕子vi. 咽下, 吞下;  vt. 咽下, 吞下;  ","Wow, look at him swallow that sword!",哇!看哪，他吞下了那把剑！
Unit3,labour,n. 劳动;  工作;  劳工;  vi. 劳动;  为…迷惑;  vt. 过于详尽地阐述;  ,His only way to earn a living was hard physical labour.,他养活自己的唯一出路就是重体力劳动。
Unit3,tomb,n.坟，冢v.埋葬,There were thousands of soldiers in the Emperor's tomb.,秦始皇坟墓里面有成千上万的兵马俑。
Unit3,airplane,n. 飞机;  ,Modern airplanes can carry hundreds of passengers.,现代的飞机一次能运送好几百名乘客。
Unit3,content,"n. 内容, 目录;  满足;  adj.  满足的;v.  使满意",You can get a brief idea of a book from the table of contents.,你可以从目录页了解一本书的大致内容。
Unit3,various,adj.各种各样的，不同的,We saw various types of fish during our dive.,在潜水时我们看到了各种各样的鱼。
Unit3,riddle,n.谜，谜语v.解谜，出谜题，筛,That riddle kept me up all night! What's the answer?,"我想这个谜语想了一晚,答案是什么？"
Unit3,widespread,adj. 散布广的;  普遍的;  ,My love story quickly became widespread through the internet.,通过网络，我的爱情悲剧很快传播开了。
Unit3,preserve,v.保护，保存,This mosquito will be preserved for thousands of years!,这只蚊子能够保存上千年！
Unit3,breathe,v.呼吸；吸入,I need to breathe pure air.,我需要呼吸纯净的空气。
Unit3,connection,"n. 连接;  连接物;  联系, 关系;  ",Each one of these wires is an Internet connection.,这些线缆中的每一条都是一个互联网连接。
Unit3,PhD,abbr. 哲学博士学位（Doctor of Philosophy）,A PhD is the highest degree awarded for graduate studies.,博士学位是本科毕业后能获得的最高学位。
Unit3,entrance,n.入口，大门口，进入，登场，入学,The entrance is over there--follow the red carpet.,入口在那边，顺着红毯过去吧。
Unit3,warning,n.警告，预告，通知，预兆,After the tree fell onto the road they put a warning sign in front of it.,树倒在路上之后他们在前面放了一张警示牌。
Unit3,jewel,n.宝石；宝石饰物,I wonder how much money I could get from selling all these jewels.,我想知道卖出这些宝石我能赚多少钱。
Unit3,murder,v./n.谋杀，凶杀,This knife was used for murder.,这把刀是用于谋杀。
Unit3,native,adj.本地的，本国的，与生俱来的n.本地人，土著，当地动植物,American Indians are the only people native to the USA.,印第安人是美国唯一的土著人。
Unit3,curse,n.咒骂，祸因，骂人话v.咒骂,The witch lays a curse on her enemies.,巫婆在她的敌人身上下了诅咒。
Unit3,discourage,v.阻止；使泄气，使失去信心,My mother always discouraged going to bed late. ,我妈妈不鼓励我太晚睡觉。
Unit3,Egyptian,n.埃及人，埃及语adj.埃及的，埃及人的，埃及语的,The Egyptians built the pyramids thousands of years ago.,埃及人在数千年前建造了金字塔。
Unit3,lord,n. 君主;  有爵位的贵族;  阁下;  上帝;  vi. 逞威风;  vt. 称…为勋爵;  ,He's an English Lord honored by the King.,他是一个被国王册封的英国贵族。
Unit3,coincidence,"n. 一致;  巧合, 同时发生;  ",It was a coincidence that we both got fired on the same day. ,我们在同一天被炒还真是巧啊。
Unit3,orbit,n. 轨道;  vt. 环绕…的轨道运行;  vi. 环绕…的轨道运行; ,All of the planets orbit the sun.,在太阳系里，所有星球环绕太阳运行。
Unit3,organization,n.组织体制；团体；机构,"In our organization, everyone takes orders from me - is that clear?",在我们的组织中，每个人都听令于我——明白了吗？
Unit3,disturb,v.打扰；妨碍；使烦恼,His snoring really disturbs me at night!,在晚上他的呼噜声真的很打扰我！
Unit3,apply,v. 涂，敷；应用；申请,"Now, I'll apply some cream to your face.",现在，我会涂一些面膜在你脸上。
Unit3,clothing,n. 衣服;  被褥;  ,Her clothing grabbed our attention.,她的衣服吸引了我们的注意力。
Unit3,gorilla,n.大猩猩，打手，暴徒,A gorilla is much stronger than a human.,大猩猩比人类强壮得多。
Unit3,astronaut,n. 宇航员,I would love to be an astronaut and go to space.,我想成为一名宇航员并进入太空。
Unit3,signal,n. 信号v. 发信号；标志,"When the traffic signal turns red, we should stop.",红灯亮，我们就该停下了。
Unit3,desire,"n. 愿望, 渴望, 欲望;  要求;  vi. 有希望, 期望, 愿望;  vt. 希望, 渴望;  请求, 要求;  ",The fish had a strong desire to be with its friend.,这条鱼有强烈的欲望同它的朋友在一起。
Unit3,come across,phr. 遇到;,I always see opportunity when I come across another businessman like me.,每次遇到像我这样的生意人时，我都会看到商机。
Unit3,fortune,n.命运，运气；财产,"Fortune, not skill, will decide if I win the money.",我能否赢钱靠的是运气而不是技术。
Unit3,virus,"n. 病毒;  毒害, 毒素; 病毒性疾病; ",This virus has been making me cough all week.,这病毒已经让我咳嗽一整个星期。
Unit3,companion,"n. 同伴, 志同道合的人;  vt. 陪伴, 陪同;  ","In my English textbook, they are great studying companions.",在我的英语教材里，他们（李雷和韩梅梅）是极好的学习伙伴。
Unit3,captain,n. 队长;  上校;  上尉;  列车长;  机长;  vt. 做…的首领;  领导;  ,That captain is so charming\uff01,那机长真迷人！
Unit3,rare,adj.罕见的；稀薄的；稀有的 ,Pandas are hard to find because they're so rare.,熊猫很难被找到，因为它们太稀有了。
Unit3,nationality,n.国籍，民族,People of all nationalities come together for the Olympic Games.,所有国家的人们为奥运欢聚一堂。
Unit3,whichever,pron. 无论哪个； 无论哪些,I will have whichever drink is most delicious.,无论哪种饮料，只要是最好喝的就行。
Unit3,voyage,n.航海，航行v.航海,The ship 'Titanic' sank on its first voyage.,泰坦尼克号在它的首航便沉船了。
Unit3,superior,n.上司，长辈adj.优良的，卓越的，较高级的,Our superiors tell us what to do.,我们的上司告诉我们要做什么。
Unit3,status,n.地位；状态；身份,"Like many businesses, we take very good care of our high-status customers.",和其他商家一样，我们很重视高端客户。
Unit3,survival,"n. 生存, 幸存;  残存物;  adj. 救生的, 用以生存的;  ","He taught me survival skills, like how to start a fire in the forest.",他教我求生技能，像如何在野外生火。
Unit3,death,n.死，死亡；灭亡,The funeral ceremony was for the death of her good friend.,这是她好朋友的葬礼
Unit3,iceberg,n. 冰山,It's too bad that the Titanic hit that iceberg.,泰坦尼克号撞上了冰山真是太不幸了。
Unit3,shortly,adv.立刻，不久；简略地，简言之,The note on the door said that they would be back shortly.,门上的纸条说他们不久就会回来。
Unit3,quality,n. 特性;  品性;  质量;  adj. 优质的;  ,I'm astonished by the quality of my pants! ,我被我裤子的质量震惊了！
Unit3,female,,Females are increasingly successful in the workplace.,女性在职场中越来越成功。
Unit3,within,adv.在内部，在内心里prep.在...之内，不越出,Deep within the earth it is hot enough to melt iron.,在地球内部深处温度高得足以融化钢铁。
Unit3,data,n.数据；资料,Please enter the data into the database. ,请往资料库中输入数据。
Unit3,curious,adj. 好奇的;  好管闲事的;  古怪的;  ,The kitten is curious about that cactus. ,小猫对那盆仙人掌很好奇。
Unit3,optimistic,adj.乐观的，乐观主义的,I really admire her optimistic attitude.,我真的佩服她乐观的态度。
Unit3,scientific,adj.科学上的,Be very careful when doing scientific experiments.,做科学实验时一定要小心。
Unit3,devotion,n. 奉献;  热爱;  投入; 忠诚, The cat shows devotion in acting cute.   ,这只猫咪专注于卖萌。
Unit3,outgoing,,She is very friendly and outgoing.,她很友好，很外向。
Unit3,valley,n.山谷，溪谷，低谷,From the top of the mountain I could see the entire valley below.,从山顶上我能看见下面整个山谷。
Unit3,requirement,n.需要；必需品；要求,Having a passport is a requirement if you want to go to another country.,如果你想去其他国家，护照是必须的。
Unit3,rocket,n.火箭,The red rocket is flying over the clouds.,这枚红色的火箭冲上云端。
Unit3,sex,n. 性；性别；色情v.区别…的性别,The form asks for your name and sex.,这张表需要填上您的名字和性别。
Unit3,inspire,v. 使生灵感；启示；激发,Seeing the sunrise on the mountain top really inspired me.,看着太阳从山顶升起对我是很大的激励。
Unit3,indeed,adv.真正地；确实,"My coworkers told me that I did, indeed, do a good job.",我的同事告诉我真的干得不错！
Unit3,explorer,n.探险家,The explorer followed the tracks to see where the animal went. ,这位探险家循着足迹来找动物的行踪。
Unit3,mummy,n.木乃伊，干瘪的人，妈咪（口）,An ancient Egyptian mummy is coming !,古埃及木乃伊来了！
