Units,words,mean_cn,sentence,sentence_tra
Unit3,tradition,n. 传统，惯例,Bull fighting is an ancient Spanish tradition.,斗牛是古老的西班牙传统。
Unit3,traditional,adj. 传统的,Many modern Chinese have traditional statues at home.,许多现代中国人的家里都有传统雕塑。
Unit3,rebel,v.造反n.造反者；反叛者；叛逆者,"As a teenager she rebelled against her parents, but now she's fine.",少年时期她曾经对她父母非常叛逆，不过现在已经好了。
Unit3,destroy,v.破坏，消灭，毁灭,My computer was completely destroyed in the fire.,我的电脑被大火毁尽了。
Unit3,entrance,n.入口，大门口，进入，登场，入学,The entrance is over there--follow the red carpet.,入口在那边，顺着红毯过去吧。
Unit3,apply,v. 涂，敷；应用；申请,"Now, I'll apply some cream to your face.",现在，我会涂一些面膜在你脸上。
Unit3,salary,n. 工资,He said he'd double my salary if I work for him!,他说要是我为他工作就付我双倍的工资。
Unit3,silver,n.银，银子；银器，银币，银牌，adj. 银的，银色的，银婚的,These engagement rings are made of silver.,这些订婚戒指是银制的。
Unit3,decorate,v.装饰，布置；把(勋章)授给(某人),We decorate the tree to celebrate Christmas.,我们装饰了这棵树来庆祝圣诞。
Unit3,adult,n. 成年人;  adj. 成年的;  成年人的;  色情的;  ,We're both adults now - kiss me!,我们都是成年人了，亲亲我！
Unit3,mat,n.席子；草席；垫子,I perform my workout on the mat.,我在垫子上锻炼。
Unit3,power,n.能力，权力，电源，幂v.驱动；提供动力,His arms have a lot of power.,他的手臂很有力。
Unit3,breast,n.胸膛，乳房,Is your bra the correct size for your breasts?,你的内衣尺寸符合你的胸围吗？
Unit3,carry on,v.继续开展，坚持，举止失常,Don't stop what you were doing; carry on.,不要停止你现在做的事情，继续。
Unit3,depend on,依靠；取决于,I can always depend on my husband to cheer me up.,我一直依靠我的丈夫让我振作起来。
Unit3,attend,v.出席，参加；照顾，护理,All the staff members attend the meeting.,全体员工出席了这个会议。
Unit3,decoration,n. 装饰；装潢；奖章 ,"The flowers, hanging lights, and other decorations were for the wedding feast.",这些美丽的花，悬挂的灯饰，还有其他的装饰都是为了婚宴。
Unit3,nowadays,adv.现今，现在 ,Nowadays everyone can use computers.,现今，每个人都能用电脑。
Unit3,retire,v.退休；退役；就寝,I'm not sure what I will do after I retire.,我还不清楚退休之后要干什么。
Unit3,Greek,adj.希腊的 n.希腊人,Greek history is very interesting and important.,希腊的历史很有趣并且很重要。
Unit3,lowdown,n. 内幕; 真相;  adj. 可鄙的; 下贱的;  ,This is the lowdown of web cam chat.,这是网上视频聊天的真相。
Unit3,ribbon,n.缎带，丝带，带状物,Here's a present--I even tied a ribbon around it.,这是一份礼物——我还给它系了丝带呢。
Unit3,pillow,,I have three colorful pillows.,我有三个彩色枕头。
Unit3,put up,建立,"It seems like every week, they put up a new building.",似乎每周都能建起新的建筑。
Unit3,hop,v.单脚跳，跳过，乘坐n.单脚跳跃，蛇麻草,He likes to hop up and down.,他喜欢单脚跳上跳下。
Unit3,halloween,n. 万圣节前夕（指十月三十一日夜晚）,"On Halloween, children dress up to play tricks.",万圣节时，孩子们都装扮好去捣蛋。
Unit3,graduation, n. 毕业，毕业典礼,"After we celebrate our graduation from university, I guess the hard work really begins.",在庆祝完大学毕业之后，我觉得艰难的生活真的到来了。 
Unit3,lunar,adj.月的，月球的，阴历的,A lunar cycle takes about a month to complete.,月亮自转一周需要一个月左右。
Unit3,link,n.链接，联系v.连接，结合,Social networking sites help link you with your friends.,社交网络帮助你连接朋友。
Unit3,alcohol,n.酒精，乙醇,I avoid alcohol because it weakens my judgment.,我不喝酒，因为酒精会削弱我的决断力。
Unit3,wedding,n.婚礼，婚宴,They asked me to take pictures at their wedding.,他们请我在他们的婚礼上拍照。
Unit3,scholarship,n. 学问;  奖学金;  ,"Mom, I just won a $50,000 scholarship to help pay for college!",妈妈，我得到了五万美元奖学金用来交学费！
Unit3,boil,v. 开，沸腾,As the water boils it gives off steam.,蒸汽随着水的沸腾冒出来。
Unit3,pudding,n.布丁，一种甜点心 ,"""Would anybody like some sweet pudding?"" ""Yes please!""","“有人想要一些甜布丁吗?”“是的,请给我来点儿!” "
Unit3,serve,v.为…服务；招待,The bartender served us with their best wine.,酒保用最好的酒招待我们。
Unit3,unfortunately,adv.遗憾的是，可惜的是，不幸的是,"Unfortunately, it's supposed to rain all weekend.",不幸的是，这整个周末可能都要下雨了。
Unit3,hot pot,phr. 火锅;,"It reminds me of my college days. You know, we all love hot pot.",它让我想起了我的大学时光。你知道的，我们都喜欢火锅。
Unit3,dragon,n.龙,2012 is the year of the dragon. ,2012年是龙年。
Unit3,as well,adv.同样地,"Not only does she practice yoga, but her daughter does as well.",不仅她自己练瑜伽，她的女儿也练。
Unit3,carol,v.欢唱；歌颂n.颂歌，赞美诗；欢乐之歌,Carols are traditional songs sung at Christmas.,颂歌是圣诞节唱的传统歌曲。
Unit3,stocking,n.长(筒)袜,Most men find women wearing stockings attractive.,大多数男人发现女人穿丝袜有吸引力。
Unit3,bride,n.新娘,The bride looks like an angel in her white dress.,这个穿着白色婚纱的新娘看起来像个天使。
Unit3,take part in,参加,Thousands of people came to take part in the race.,数千人来参加了跑步比赛。
Unit3,ceremony,n.典礼，仪式，礼节,They threw flower petals at the wedding ceremony.,他们在婚礼上撒花瓣。
Unit3,snack,n. 小吃，快餐,I've put out a few snacks for you to enjoy before dinner.,我已经拿来一些你晚餐前可以享用的零食了。
Unit3,mess,n.凌乱状态，混乱状态；肮脏，污秽；困境v.弄脏，弄乱；浪费时间,My children love creating a mess.,我的孩子们喜欢制造混乱。
Unit3,merry,adj.欢乐的，愉快的,The girls felt merry and happy on the way to the party.,在去派对的路上这些女孩儿感到愉快高兴。
Unit3,lantern,n.灯笼；提灯,The lantern kept burning throughout the night.,灯笼亮了一整晚。
Unit3,invitation,n.请柬，邀请，招待，,I could tell the party was going to be fun from the look of the invitation.,从邀请函看，我敢说这个派对肯定很有意思。
Unit3,litre,n.升[容量单位],This cup can measure fluids by the half litre.,这个杯子能量半升液体。
Unit3,auto shop,自动售货店,The mechanic at the auto shop fixes my car.,车店的机械师为我修车。
Unit3,Indonesian,n. 印尼人；印尼语群adj. 印尼的,There were many types of vehicles on the busy Indonesian street.,印度尼西亚繁忙的街头有着各种各样的车子。
Unit3,apply for, 申请,Fill out this form to apply for a bank account.,填写这张表格，以申请银行卡。
Unit3,bridegroom,n.新郎 ,The bridegroom looked very handsome in his suit and tie.,新郎穿着西装打着领带看起来很帅。
Unit3,Turkey,n.土耳其；火鸡（turkey）,I spent last year travelling through Turkey. ,我用去年的时间漫游了整个土耳其。
Unit3,the North Pole,n. 北极,There is always light during summer at the North Pole.,北极的夏季有极昼现象。
Unit3,sticky,adj.粘的，不慷慨的,"I love eating candy apples, but the caramel is so sticky!",我喜欢吃糖苹果，但是这焦糖好粘啊！
Unit3,stupid,adj.愚蠢的，麻木的，乏味的,People who put dangerous things into their nose are just stupid.,把危险的物品放进鼻孔的人非常愚蠢。
Unit3,screen,n. 屏幕，荧光屏；纱窗v. 遮蔽；放映,The movie theater's screen is so large!,这个电影院的屏幕好大！
Unit3,celebration,n.庆典，庆祝会；庆祝；颂扬,"Our boss gave us all a raise, so we decided to have a celebration.",我们的老板给我们所有人加薪了，所以我们决定开个庆祝会。
Unit3,teenager,n.(13-19岁的)少年,Teenagers love to play video games. ,青少年喜欢玩电动游戏。
Unit3,best man,n. 伴郎;,"Well, you can say it's tough to be the best man.",好吧，你可以说当伴郎是艰难的。
Unit3,envelope,n. 信封;  包装物;  外壳;  气囊;  极限数据;  膜;  ,I put his birthday card in an envelope.,我把他的生日卡片放进了一个信封。
Unit3,reception,n. 前台；接收；欢迎会,The woman at reception said my room is ready now.,在前台的女士说我的房间已经准备好了。
Unit3,battery,n.电池(组)，炮兵，一组,The camera is out of battery; we can't take any more pictures.,相机没电了，我们没法照更多的相片。
Unit3,on time,adv.准时,"I love this delivery service because they're always on time, never late.",我喜欢这一家物流服务，因为他们总是准时从不晚点。
Unit3,swallow,"n. 咽, 吞;  燕子vi. 咽下, 吞下;  vt. 咽下, 吞下;  ","Wow, look at him swallow that sword!",哇!看哪，他吞下了那把剑！
Unit3,darkness,n. 黑暗；模糊；无知,I could hardly see him through the darkness.,在黑暗中我几乎看不清他。
Unit3,opportunity,n.机会，良机,The family finally had an opportunity to buy their own house.,这家人终于有机会买他们自己的房子了。
Unit3,the Lantern Festival, 元宵节,We celebrate the Lantern Festival by hanging lanterns up.,我们高挂灯笼，欢庆元宵佳节。
Unit3,the Mid-Autumn Festival, 中秋节,We celebrate the Mid-Autumn Festival by eating moon cake.,我们吃月饼来庆祝中秋节。
Unit3,occasion,n.场合，时刻，时机，机会,The cake was cut and beer was served on the occasion.,这时候（大家）切开了蛋糕并喝起了啤酒。
Unit3,ought,v.aux.应当，应该,You ought to finish your homework instead of sleeping!,你不该睡觉而应该把家庭作业完成。
Unit3,production,n.生产，产量，生产过程；上演的戏,Car production is a difficult and complicated process.,汽车生产是个困难复杂的过程。
Unit3,include,v.包括，包含,We should try our best to include everybody.,我们应该尽力去把每个人包括进来。
Unit3,bunch,n.串，群，伙，束v.集中，挤在一起；使成一束(或一群等),I gave her a bunch of flowers for Valentine's Day.,情人节我给了她一束花。
Unit3,contribute,v.捐献，捐助，做贡献，投稿 ,They contributed food to help feed hungry people.,他们捐出食物来帮助饥饿的人。
Unit3,burn down, 烧成平地； 烧毁； 烧光,Be careful with matches or your house could burn down.,小心火烛，以防房屋被烧。
Unit3,pole,n.杆，竿极(点)，磁极，电极,The telephone pole holds the cables.,电线杆支撑着电缆。
Unit3,needle,n.针；针状物v.用针穿刺；刺激,All you need to sew clothing is a needle and thread.,你缝衣服所需要的所有东西就是针和线。
Unit3,congratulation,n.(on)祝贺；祝贺词,Congratulations on your success!,祝贺你的成功！
