Modules,words,mean_cn,sentence,sentence_tra
Module6,software,n.软件,I have a lot of software on my smart phone. ,我手机上装了很多软件。
Module6,breakdown,"n. 损坏, 故障, 倒塌;  衰退; adj. 修理机器的, 排除故障的;",My computer had a breakdown due to the virus attack.,我的电脑因为病毒攻击当机了。
Module6,network,n. 网状物;  网络;  vi. 建立关系网;  vt. 联播;  使联网;  ,The internet is basically a network of billions of computers.,互联网其实就是连接数十亿台电脑的网络。
Module6,defence,n.防御，防务，辩护 ,The woman learns self defence.,这个女人学习自卫。
Module6,accessible,adj. 易接近的；可进入的；可理解的,Is this bus accessible for wheelchair users?,轮椅使用者能登上这个巴士吗？
Module6,design,vt.设计 n.设计;图样,The design for the house looks great--now let's build it!,这个房子的设计很棒，现在我们来建造它吧！
Module6,go down,phr. 下降; 平静下来; 被接受;,This elevator is going down.,这个电梯正在下降。
Module6,pass,v.经过；通过；度过；传递n.飞机或人造卫星等的一次掠过,"Pass me the stick, quickly!",把棒子递给我，快！
Module6,percentage,n.百分比，百分率,GDP fell by four percentage points this quarter--what a disaster!,这个季度GDP下降了4个百分点，真是一场灾难！
Module6,disadvantage,n.不利，不利地位，弱点；弊端,The one ant is at a disadvantage against so many others.,这一只蚂蚁在和其他许多蚂蚁的对抗中处于劣势。
Module6,statistics,n. 统计学; 统计; 统计数字;  ,I use facts and statistics to prove my point.,我用事实和统计数字来证明我的观点。
Module6,document,,This document explains how to manage our project.,这份文件对我们项目的经营做出了说明。
Module6,frequently,adv.频繁，经常地,Your heart beats very frequently when you run.,当你奔跑的时候你的心跳非常频繁。
Module6,military,n. 军队;adj. 军事的;  ,Every country develops its military force to defend its territory.,每个国家都发展自己的军事力量来保卫自己的领土。
Module6,shorten,v.缩短，(使)变短,I asked the barber to shorten my hair a little more.,我让理发师把我的头发剪短一点。
Module6,log,n.原木；航海日志v.伐木；航行；记录；登录,The wood logs are stacked in a pile.,木头原料成堆排放储存。
Module6,sideways,adv.斜着，斜向一边地 ,Please turn to the side--we want a sideways view.,请侧转身一下，我们想要一个侧面照。
Module6,data,n.数据；资料,Please enter the data into the database. ,请往资料库中输入数据。
Module6,average,n.平均；平均水平adj.通常的；平均的v.平均为,The average temperature this month was higher than this time last year.,这个月的平均气温比去年这个时候要高。
Module6,invention,n. 发明,"He always has ideas for inventions, but often they've already been invented.",他常常有发明创造的想法，但往往那些东西都已经被创造出来了。
Module6,consists of,由……组成,My meal consists of meat and potatoes.,我的餐食由肉和土豆组成。
Module6,definite,adj.明确的；肯定的,The line comes to a definite end at this point!,到现在这条路肯定走到头了。
Module6,as well,adv.同样地,"Not only does she practice yoga, but her daughter does as well.",不仅她自己练瑜伽，她的女儿也练。
Module6,access,,Your thumbprint will give you access to the secret room.,你拇指的指纹可以让你进入那个密室。
Module6,via,prep.经过；通过,I will get there via the highway.,我会通过高速公路到达那里。
Module6,independent,adj.无党派人士，独立自主的,"Even though she can't move her legs, she's still an independent person.",即使她不能移动双腿，她也仍然是个独立的人。
Module6,come up with,v.提出；想出,The businesswoman has come up with many new ideas.,这位女商人提出了很多新想法。
Module6,concentrate,,"If you want to hit the target, you will have to concentrate and focus.",如果你想射中靶子，你必须做到集中精神和专注。
Module6,fantastic,"adj. 不真实的;  荒诞离奇的;  不可思议的, 极大的;  极好的;  ",The moon looks fantastic tonight--look at how huge it is!,今晚月亮看起来很美—看它有多大！
Module6,contain,v.包含，容纳；遏制,Bottles with this sign usually contain poison.,带有这个标志的瓶子通常装着毒药。
Module6,crash,,It was a serious car crash.,这是一次严重的车祸。
Module6,permission,n.允许，同意,"They gave me an American visa, so I now have permission to travel there.",他们给了我一份美国签证，所以现在我有去那里的许可了。
Module6,source,n.源(泉)，发源地，来源；原始码 (计算机用语),"Milk, delivered straight from the source.",牛奶，从源头新鲜直送。
Module6,create,v.创造，引起，产生,I created the painting all by myself.,我全靠自己创作了这幅画。
Module6,essay,"n. 散文, 随笔, 文章;  ",I'm a merit student and I like writing essays. Bravo!,我是学霸我爱写论文。赞！
Module5,crucible,n.坩埚,Hot liquid metal is poured into a crucible to be shaped into something else.,炽热的铁水被泼进了一个坩埚，以塑造成别的形状。
Module5,contract,n.合同，契约v.订合同，收缩，缩减,We signed the contract and I bought the house.,我们签了合同后，我就买下了这栋房子。
Module5,add...to...,往……加入……,Add some sugar to your coffee to make it sweeter.,给你的咖啡加点糖让它更甜。
Module5,liquid,,On a hot day like this you should drink plenty of liquids.,像这样的大热天你应该多喝水。
Module5,in the area of,在……领域,I'm not very experienced in the area of personal finance.,在个人财务方面，我不是很有经验。
Module5,aluminium,n. 铝;  adj. 铝制的;  ,The aluminium is a light metal which is mainly used to make planes.  ,铝是一种轻金属主要可以用于制造飞机。
Module5,stage,n. 阶段；舞台；戏剧,The stage is decorated with a red curtain; it's perfect for putting on a play.,这个用红色幕布装饰起来的舞台很适合演戏剧。
Module5,flame,n.火焰；热情,The house went up in flames; we lost everything.,房子烧毁了，我们失去了所有。
Module5,substance,n.物质，实质，本质,"Substances like water can exist in solid, liquid or gaseous form.",像水这种物质可以以固态、液态或者气态的形式存在。
