Units,words,mean_cn,sentence,sentence_tra
Unit3,lecture,n. 讲演; 讲课; 讲座;  vi. 讲演;  vt. 向…讲演;  教训;  ,He delivered a series of lectures on the current market trend.,他发表了一系列对于当前市场趋势的讲座。
Unit3,institute,"n. 学会;  学院, 专科学院, 研究院;  vt. 建立, 设立, 制定;  ",This institute has trained many excellent doctors.,这个研究所已经培育出了许多优秀的医生。
Unit3,basis,n.基础，根据 ,The alphabet is the basis of written English. ,英文字母是学习书面英语的基础。
Unit3,ahead,,I am running ahead of the rest of the group. ,我跑得比这个组的其他人快。
Unit3,explode,v.(使)爆炸；爆发，发怒,The fireworks exploded in the sky.,烟花在空中爆炸。
Unit3,take over,接收，接管，接任，夺取,"Oh, no! Masked villains want to take over our city!",哦，不！戴面具的坏人想占领我们的城市！
Unit3,flee,"vi. 逃走;  vt. 逃离, 避开;  ",Jack flees from the savages who want to eat his flesh.,Jack逃离那些想吃他肉的野蛮人。
Unit3,march,v.(使)行军，(使)行进n.行军，行程，三月,You can hear the sound of soldiers' boots as they march through the streets.,当军队穿过街道时，你可以听见军人们的脚步声。
Unit3,wooden,adj.木制的；呆笨的,Finally we found a wooden bridge and crossed the river.,我们终于找到了一座木桥并过了河。
Unit3,educate,v.教育，培养，训练,My children were all educated in public schools.,我的孩子们都在公立学校接受教育。
Unit3,aware,adj.意识到的，知道的，警惕的,The dog is alert and aware.,这只狗很警觉。
Unit3,expression,n. 表达；表情，措辞,She has so many vivid facial expressions.,她有很多生动的面部表情。
Unit3,destroy,v.破坏，消灭，毁灭,My computer was completely destroyed in the fire.,我的电脑被大火毁尽了。
Unit3,pour,v.注入，倒入；下（雨）,I'll pour a glass of wine for you.,我会为你倒一杯红酒。
Unit3,navy,n.海军,The navy was advancing for battle in the morning.,
Unit3,court,"n. 法院，庭院，球场；宫廷v. 献殷勤, 招致危险, 追求",Your murder trial will be in court room number one.,你的谋杀案审讯将在第一法院开庭。
Unit3,philosophy,"n. 哲学, 哲学体系;  哲学思想;  ",I often think about the meaning of life and other questions of philosophy.,我常常思考生命的意义以及其他哲学命题。
Unit3,material,n.材料，原料，资料　adj.物质的，实体的,Our warehouse sells a lot of building materials. ,我们的仓库有许多建筑材料待售。
Unit3,BC,abbr. 公元前（Before Christ）,"The ancient stone circle of Stonehenge was built in around 2,000 BC.",
Unit3,volcano,n. 火山,Watch out--the volcano is about to erupt!,小心！火山要喷发了！
