Units,words,mean_cn,sentence,sentence_tra
Unit3,decrease,v.减，减少n.减，减少,"Our sales have decreased for the last two years, and now we're out of money.",这两年我们的销售都在减少，现在我们没钱了。
Unit3,affect,v.影响，感受，假装,Her break-up with her lover has badly affected her.,她与恋人的分手严重地影响了她。
Unit3,sight,n.视力，望见，视域　,My dog's sight is better with these binoculars.,用了望远镜，我的狗视力更好了。
Unit3,pressure,n. 压力v.对...施加压力；迫使,The student was under a lot of pressure to do well on the exam. ,为了考好试学生承受了巨大压力。
Unit3,court,"n. 法院，庭院，球场；宫廷v. 献殷勤, 招致危险, 追求",Your murder trial will be in court room number one.,你的谋杀案审讯将在第一法院开庭。
Unit3,Maryland,n.马里兰（美国州名）,"Many people who work in Washington, D.C. live in Maryland.",许多在华盛顿特区上班的人都住在马里兰州。
Unit3,academic,"n: 学者;  adj: (综合大学中的)学院的, 学术的;  ","Academic jobs are not always well paid, but they're very satisfying.",虽然学术工作收入不高，但是让人很满足。
Unit3,individuality,n. 个性；个人；个人特征；个人的嗜好（通常复数）,A person of marked individuality is the one who can segregate himself from the crowd.,
Unit3,elementary,adj.基础的；初级的,I learned how to read and write in elementary school.,我在小学就学会了如何读写。
Unit3,fashionable,adj.流行的，时髦的 ,The clothes that I bought were cheap but fashionable nonetheless.,我买的这件衣服虽然便宜但是很时尚。
Unit3,complain,"vi. 抱怨, 诉苦;  申诉, 控诉;  vt. 诉说, 申诉, 控告;  ","""This math problem is so difficult; it makes my head hurt!"" she complained.",“这道数学题太难了，我头都疼了！”她抱怨道。
Unit3,ruin,,The fire will ruin everything in the house. ,这火会毁坏房子里所有的东西。
Unit3,reduce,v.减少，减小，降低，精简,I have reduced my weight by a few kilos.,我已经减了几公斤体重。
Unit3,appreciate,vi. 增值;  vt. 赏识;  为…表示感激;  领会;  使增值;  ," He appreciated a spoof painting, but he didn't realize that.       ",他没有意识到这是一幅恶搞图，还很欣赏它。
Unit3,gang,n. 以某种方式结合的一群人;  vi. 成帮结伙;  合伙行动;  vt. 使集合成一群;  使成套排列;  ,This gang of troubled young men likes to cause trouble.,问题少年组成的帮派喜欢制造麻烦。
Unit3,resistance,n.阻力；抵抗，抵制，抵抗力,Please lower the resistance; my muscles are too tired.,请降低一些阻力，我的肌肉太疲劳了。
Unit3,object,n. 物体;  对象;  目标;  vt. 提出…作为反对的理由;  ,UFO is the short form of Unidentified Flying Object.  ,UFO是不明飞行物体的简称。
Unit3,a piece of clothing,一件衣服,Jeans are a very popular piece of clothing.,牛仔裤是很流行的衣物。
Unit3,blouse,n. 宽松工作服; 女衬衫; 短上衣;  vi. 宽松下垂;  vt. 使…宽松下垂使松垂;  ,Where did you get that blouse?! I want to buy one for myself.,你从哪买到的那件女士衬衫？我想给自己买一件。
Unit3,illustrate,v.举例说明，阐明；图解，加插图,Many animal pictures were used to illustrate the children's book.,在儿童书里有很多动物的图片来当插图。
Unit3,fur,n.毛皮，毛皮衣服，人造毛,"A fur coat is very warm, but very expensive!",皮毛外套很温暖，但也很昂贵。
Unit3,contest,n.比赛，竞争v.争夺，争论,It was an exciting contest.,这是一场激动人心的比赛。
Unit3,cool,adj.凉爽的，冷静的，沉着的 ；酷的v.(使)冷却，(使)镇静,"In summer, spraying yourself with water is a great way to keep cool.",在夏天，冲凉是很好的方式，能保持凉爽。
Unit3,peer,n. 同龄人，同等地位的人，贵族v. 仔细看，费力地看,I enjoy working with my peers; we all understand each other.,我喜欢和同龄人一起工作，因为我们能理解彼此。
Unit3,wig,n.假发；呵斥v.呵斥,They looked extremely silly in their new wigs.,他们戴上新假发看起来相当的傻。
Unit3,fashion,n. 时髦，风尚，方式v. 把...塑造成，制作,The red dress was in the fashion show.,这条红裙曾出现在时装秀上。
