Modules,words,mean_cn,sentence,sentence_tra
Module6,narrow,,I will meet you on the other side of the narrow alley.,我在窄巷子那头等你。
Module6,ridiculous,adj.可笑的，荒谬的,Men putting on female clothes look ridiculous.,男人穿女装看起来是可笑的。
Module6,canal,n. 运河;  水渠;  支流;  ,This city has many canals running through it.,这座城市有很多运河穿流其中。
Module6,dam,n. 水坝；障碍物,The dam keeps the river from flooding the town.,大坝让小镇免于河流泛滥的洪水。
Module6,carving,n.雕刻；雕刻品；雕刻术,Can you recognize the faces in the carving at Mount Rushmore?,你能认出雕刻在拉什莫尔山上的人脸吗？
Module6,reservoir,n. 水库,The city must rely on safe drinking water from the reservoir.,这个城市肯定是靠这个水库供给安全饮用水的。
Module6,cliff,n.悬崖，峭壁,The steep white cliffs surrounded the bay.,陡峭的白色悬崖包围着海湾。
Module6,date,"n. (某些事件发生或将发生的) 年月日;  日期;  时间;  时期;  约会;  vi. 记载日期;  属于某一特定时期;  vt. 给…注明日期;  确定, …的年代;  约会;  ",What date is it today?,今天几号？
Module6,engineering,"n. 工程学;  工程;  工程师行业、职业、工作;  管理, 操纵;  ",We have to consult the students from Lanxiang to solve this engineering problem.    ,我们得请教蓝翔的学生来解决这个工程问题。
Module6,enormous,"adj. 极大的, 巨大的, 庞大的;  ",That is one enormous cup of coffee!--How big is it?,那杯超大的咖啡！—它有多大啊？
Module6,civil,adj.公民的，民用的；国内的,Voting is an important civil right.,选举权是一项重要的公民权利。
Module6,foggy,adj.雾深的，模糊的；朦胧的，玻璃窗等)不明净的,We got lost in the foggy forest.,我们在迷雾森林中迷路了。
Module6,relic,n.遗迹，遗物；废墟；纪念物,We may never know who made these ancient relics.,我们也许永远也不知道是谁建造了这些古代遗迹。
Module6,hydro-electric,adj.水力发电的,Our city gets hydro-electric power from this dam.,这个大坝给我们的城市供应水力发的电。
Module6,poem,n.诗，韵文，诗体文,This poem is written by Libai.,这首诗是李白写的。
Module6,date from,起源于,This antique car dates from the 50's.,这辆古董车的历史能追溯到50年代。
Module6,remove,vi. 搬家;  离开;  vt. 搬开;  移动;  除掉;  ,Use the other end of the hammer to remove nails.,用锤子的另一端去拔除钉子。
Module6,historical,n. 历史题材的文学作品;  adj. 历史的; 有关历史的;  ,Historical places are the greatest tourist attraction.,历史古迹是最重要的旅游景点。
Module6,construction,n. 建筑物；建造；造句,I work in construction - I build houses.,我在建筑行业工作—我盖房子。
Module6,watchtower,"n. 瞭望塔, 岗楼, 监视塔;  ",The lifeguard in the watchtower makes sure people stay safe.,瞭望塔的救生员会确保人们的安全。
Module6,accommodate,v.向…提供住处(或膳宿)；给…提供方便；容纳；使适应，顺应,The hotel room can comfortably accommodate two travelers.,这酒店的房间接纳两位旅客是没有任何问题的。
Module6,freezing,adj. 冰冻的；严寒的；冷冻用的,The weather is freezing cold today.,今天天气非常冷！
Module6,observatory,n.天文台，气象台，了望台,The observatory keeps watch on the stars.,那个天文台一直在观察恒星。
Module6,Buddhist,n.佛教徒 adj.佛教的 ,Buddhist monks live simple lives.,佛教的僧侣们过着简单的生活。
