Units,words,mean_cn,sentence,sentence_tra
Unit3,tomb,n.坟，冢v.埋葬,There were thousands of soldiers in the Emperor's tomb.,秦始皇坟墓里面有成千上万的兵马俑。
Unit3,twist,,I think I twisted my arm while playing basketball.,我想我打篮球的时候扭到了胳膊。
Unit3,preserve,v.保护，保存,This mosquito will be preserved for thousands of years!,这只蚊子能够保存上千年！
Unit3,empire,n.帝国，（由个人或集团控制的）大企业,This was built during the Roman empire.,这是在罗马帝国时期修建的。
Unit3,base,n.基础，基地，底座adj.差的，次的,The bases of these pillars have to support a lot of weight.,这些柱子的底座得承受巨大的重量。
Unit3,include,v.包括，包含,We should try our best to include everybody.,我们应该尽力去把每个人包括进来。
Unit3,overlook,v.忽视；眺望；俯视,The view overlooks the whole town.,这里可以俯视整个城市。
Unit3,historical,n. 历史题材的文学作品;  adj. 历史的; 有关历史的;  ,Historical places are the greatest tourist attraction.,历史古迹是最重要的旅游景点。
Unit3,construction,n. 建筑物；建造；造句,I work in construction - I build houses.,我在建筑行业工作—我盖房子。
Unit3,scenery,n. 风景,"The leaves turn orange in autumn, which provides for some beautiful scenery.",这些树叶在秋天变成橘黄色，平添了许多美景。
Unit3,structure,n. 结构，构造；.建筑物v. 建筑，组织,There are so many new structures going up. ,许多新的建筑正拔地而起。
Unit3,calligraphy,n.笔迹，墨宝，书法,Calligraphy is an ancient form of writing art.,书法是一种古老的书写艺术。
Unit3,admit,v.承认；准许…进入,We should admit our mistakes and learn from them.,我们应该承认自己的错误并从中吸取教训。
Unit3,attract,v.吸引，引诱,Use different types of bait to attract different fish.,用不同类型的诱饵去吸引不同的鱼。
Unit3,stand,n. 讲台;  看台;  vi. 站立;  起立;  vt. 使站立;  忍耐;  抵御;  ,My dog can stand on two feet and she can even put on her own shoes!,我的狗能双脚站立，它甚至能自己穿鞋！
Unit3,gallery,n.美术馆，画廊，(议会等的)旁听席，走廊,This gallery has a lot of flower pictures.,这个展览馆有大量的花朵图片。
Unit3,civilization,n. 文明,The Egyptian civilization lasted for thousands of years.,埃及文化延续了上千年。
Unit3,seal,n.海豹；邮戳；封条；火漆印v.密封；封锁；缄口,The letter had a red seal.,这封信有枚红色的火漆封印。
Unit3,hold,v.拿住；掌握；拥有n.掌握；拥有；货仓,To hold someone's hand is a sign of love.,握住一个人的手是爱的表现。
Unit3,remains,n.遗体；遗骸，残余物,"Ewww, there are animal remains on the side of the road!",呃，路边有些动物的遗骸。
Unit3,ruin,,The fire will ruin everything in the house. ,这火会毁坏房子里所有的东西。
Unit3,access,,Your thumbprint will give you access to the secret room.,你拇指的指纹可以让你进入那个密室。
Unit3,landscape,n. 地貌，风景，风景画v. 美化环境,"The landscape is beautiful, with ice-capped mountains in the background and a river.",这里风景太美了，有白雪覆盖的群山映衬，还有一条小河。
Unit3,stadium,n. (露天)运动场;  ,The crowd is waiting for the game to start in the stadium. ,大家都在体育场内等待比赛开始。
Unit3,abandon,v.放弃；抛弃,This house was abandoned by its owners.,这个房子被它的主人遗弃了。
Unit3,magnificent,adj. 宏伟的，壮丽的，华丽的,The peacock's feathers look magnificent!,孔雀的羽毛看起来非常华丽。
Unit3,reflection,n. 反射;  映象;  反映;,"The reflection the cat saw in the mirror was not itself, but a lion.",这只猫咪在镜中看到的映象不是它自己，而是一只狮子。
Unit3,sculpture,n.雕刻(作品),This is an old sculpture.,这是一个古老的雕像。
Unit2,guarantee,n.保证，保证书v.保证，担保,We give you a 100% guarantee that the product will be safe.,我敢打百分之百的包票，货物一定会安全的。
Unit2,squeeze out,榨出；挤出,I squeezed some toothpaste out of the tube.,我从软管挤出了一些牙膏。
Unit2,apply,v. 涂，敷；应用；申请,"Now, I'll apply some cream to your face.",现在，我会涂一些面膜在你脸上。
Unit2,regularly,adv.有规律地，经常，整齐地，匀称地,Brush your teeth regularly every day!,每天都要有规律地刷牙！
Unit2,normal,adj. 正常的,I was glad when the doctor told me my heart beat  was normal. ,当医生告诉我心跳正常的时候，我很开心。
Unit2,ensure,v.确保，保证,Please ensure my grammar is correct. ,请确认我的语法是对的。
Unit2,wet,,"Be careful, don't slip on the wet floor!",小心点！不要在湿地板上滑倒了。
Unit2,overuse,n. 过度的使用;  vt. 使用…过度;  使用…过多;  ,My shoes are worn from overuse. I've worn them for years.,我的鞋因为穿得过多而破旧了。
Unit2,remedy,v.恢复；治疗；补救n.治疗；补救,This plant contains a remedy for your sickness.,这种植物对你的病有疗效。
Unit2,protein,n. 蛋白质;  adj. 蛋白质的;  ,Eggs and bacon are both high in protein.,鸡蛋和培根都有很高的蛋白质含量。
Unit2,angle,"n. 【数学】角;  角度;  角落; 角度, 观点;  ",The angle of each corner is 60 degrees.,（这个三角形）每个角都是60度。
Unit2,effective,adj.有效的，有影响的 ,Makeup is very effective at hiding our physical flaws.,化妆对于隐藏我们外表的缺陷非常有效。
Unit2,bald,adj.秃头的,"Wait, why am I combing my hair?--I'm bald, I don't have any hair.",等等，我为什么要梳头？我是秃头，我根本没有头发。
Unit2,dairy product,乳制品,I can't eat any of those dairy products because they make my stomach upset.,我不能吃这些乳制品，因为它们令我胃难受。
Unit2,dirt,n.尘，土，污物，污垢 ,I want to wash the dirt from my hands.,我想洗干净手上的泥。
Unit2,damage,v.损害；毁坏　　n.损害,I damaged my car when I drove off the road.,当我开下马路时撞毁了车。
Unit2,pay attention to,注意,"Please pay attention to what I'm saying, because there will be a test on it at the end.",专心听我讲的话，因为最后会有一个相关的测试。
Unit2,balanced,adj.平稳的，平衡的，和谐的,Try to keep the ball balanced so it doesn't fall off.,试着使球保持平衡，防止坠落。
Unit2,shampoo,n.洗发精，香波；洗发　v.洗发,This new shampoo makes my hair smell great!,新买的洗发香波使我头发闻上去很不错。
Unit2,adequate,adj.充足的，尚可的，可以胜任的,"His performance was adequate: not great, but good enough.",他的表现是可以胜任的，不是非常棒，但是足够好了。
Unit2,comb,n. 梳子;  梳理;  vt. 梳理;  ,I always carry a comb because my hair often gets tangled.,因为我的头发总是打结，所以我总是带着梳子。
Unit2,curl,n.卷毛，卷发v.使卷曲,Her blonde curls are very beautiful.,她金色的卷发十分好看。
Unit2,expert,n.专家adj.熟练的,"Don't worry, he's an expert; he'll know how to fix the computer.",不用担心，他是专家，他会知道怎么修电脑。
Unit2,rinse,v.嗽口，(用清水)刷，冲洗掉，漂净n.嗽洗，漂洗，漂清，冲洗,You should rinse the dishes before you put them in the dishwasher.,在把盘子放进洗碗机之前要先用清水冲洗一下。
Unit2,conditioner,n.软化剂；调节器；护发素,"Shampoo, conditioner, and a head massage are my favorite parts of going to the salon.",洗发水，护发素和头部按摩是我去理发店最喜欢的项目。
Unit2,hairstyle,"n.发型, 发式",My dog really enjoys his new hairstyle.,我的狗真的喜欢他的新发型。
Unit2,stress,"n. 强调;  节拍;  紧迫;  压力;  vt. 给…加压力, 使紧张;  强调;  ","After working such a long day, she feels a lot of stress.",这样工作一整天让她压力巨大。
Unit2,suit,n. 套服;  请求;  诉讼;  vi. 合适;  vt. 适宜于;  使穿上套服;  ,Don't you think I look good in this suit?,你不觉得我穿这衣服很帅吗？
Unit2,squeeze,,I'll squeeze some oranges to make orange juice.,我要榨这些橙子来做橙汁。
Unit2,loosen,v.解开；使松驰,I decided to loosen my tie and relax. ,我打算解开我的领带放松一下。
Unit1,stare,v.盯，凝视,I don't know why that strange man is staring at me.,我不知道为什么那个陌生人一直盯着我。
Unit1,communicate,v.通讯；传达；沟通，交流思想,"With the Internet, I can communicate with my children whenever I want.",通过互联网，我能在任何时候跟我的孩子们聊天。
Unit1,well-dressed,adj. 穿着考究的；穿着入时的,My grandfather has always been a well-dressed man.,我的祖父一直是个穿着考究的人。
Unit1,downwards,adv.向下，往下 ,The damaged plane fell downwards toward the earth.,被破坏的飞机朝着地面坠落了。
Unit1,last,n. 最后；上个；末尾adj. 最后的；最新的v. 度过，拖过；使维持adv. 最后地；最近地,This is the last piece of the puzzle.,这是拼图缺失的最后一块。
Unit1,confusion,n.困惑，混淆；混乱,He is in a state of confusion.,他正处于一个混乱的状态。
Unit1,eye contact,phr. 目光接触; 眼神交会;,You do not make eye contact with the teacher. Never!,绝对不要和老师有眼神接触！
Unit1,appearance,n.出现，外貌，露面,I'm more interested in your personality than your appearance.,相对于你的长相，我更在意你的品格。
Unit1,concentration,n.集中，专注，浓缩,Completing an exam requires a lot of concentration. ,完成考试需要非常集中注意力。
Unit1,sigh,v./n.叹息，叹气,"""I wish he loved me,"" she said as she sighed with disappointment.",“我希望他爱我。”她哀叹道。
Unit1,without hesitation,adj. 毫不踌躇地,"As soon as she was asked the question, she ran away from her own wedding without hesitation.",当她被问到那个问题，她毫不犹豫地逃离了自己的婚礼。
Unit1,in authority, 有权,Have respect for those in authority or I'll take you to jail!,给我放尊重点，否则我抓你坐牢！
Unit1,lack of, 缺乏,I'm suffering from a serious lack of money!,我正严重缺钱！
Unit1,avoid,v. 躲开；避免；防止,She's been avoiding my calls all week; I don't know why she doesn't want to talk.,她这一周都没接我的电话，我不知道她为什么不想和我说话。
Unit1,signal,n. 信号v. 发信号；标志,"When the traffic signal turns red, we should stop.",红灯亮，我们就该停下了。
Unit1,employee,n.受雇者，雇员，雇工，职员,"As the boss, I care about all my employees.",作为老板，我非常在意我的员工们。
Unit1,expression,n. 表达；表情，措辞,She has so many vivid facial expressions.,她有很多生动的面部表情。
Unit1,authority,n.权威，当局，权力,The judge is the authority on the meaning of the law.,在法律的意义上，法官就是权威。
Unit1,remind,v.提醒，使想起,My phone reminded me that I have an appointment this afternoon.,电话提醒我下午还有一个约会。
Unit1,glance,n.一瞥，扫视v.看一下,"She glanced at me once, but didn't look at me for the rest of the night.",那晚，她瞥了我一眼之后没再看过我。
Unit1,assistance,"n. 援助, 帮助;  补助;  ",My grandma needs medical assistance every once in a while.,我祖母每隔一段时间需要医疗援助。
Unit1,prefer,v.(to)更喜欢，宁愿,"I'm sorry to say, I prefer cream cake to apples.",我很抱歉地说，比起苹果我更喜欢奶油蛋糕。
Unit1,impression,n.印记，印象，感觉，感想，压痕,I think I made a good first impression when I met him at the park.,我想当我在公园遇到他时给了他一个很好的第一印象。
Unit1,respect,v. 尊敬，敬重n. 敬重，尊敬；方面,Japanese people show respect by bowing.,日本人通过鞠躬来表达尊重。
Unit1,boredom,n.厌倦,The meeting went on so long he thought he would die of boredom.,那个会议太长了以至于他觉得要无聊死了。
Unit1,remark,"n. 评论, 谈论;  vi. 议论;  vt. 评论;  ",I read the remark and got the hint.,我看了评论并且得到了提示。
Unit1,hostility,n.虐待，敌意；不友善；敌对,There are many laws that protect children from hostility at home.,有很多法律保护孩子免于家暴。
Unit1,gesture,"n. 手势, 表情;  姿态;  vi. 做手势;  vt. 用手势表达;  ","Their ""thumbs up"" gesture meant that they liked it.",竖起大拇指的手势表示他们喜欢这东西。
Unit1,senior,adj.年长的；资格老的，地位较高的n.(大学或高中)毕业生,Senior citizens should be respected.,年长的人应该被尊重。
Unit1,consider,v.认为；考虑,"I will consider your offer, but I think I can get a better price elsewhere.",我会考虑你给的价格，但我觉得我能在别处得到一个更好的。
Unit1,maintain,v.维持，赡养，维修，主张,I wash my car daily to maintain its shine.,我每天都洗车来维持它的光洁如新。
Unit1,subtle,"adj. 淡淡的, 淡雅的;  精细的;  精妙的;  狡诈的;  ",She didn't like her makeup to be too obvious; she kept it as subtle as possible.,她不喜欢妆化得太明显了，她化得尽量细致微妙。
Unit6,used to,过去（常常）……,He's used to being in high places.,他习惯呆在高处。
Unit6,mixture,n.混合，混合物,This selection contains a mixture of different fruits.,这一份是很多水果的混合物。
Unit6,fertilizer,n. 肥料,The farmer used fertilizer to improve his crop production. ,农民用肥料来提高作物产量。
Unit6,amazed,adj. 惊奇的，吃惊的,"She was amazed at the size of the diamond, but she didn't really want to marry him.",她被钻石的尺寸惊到了，但她不想嫁给他。
Unit6,cancer,n.癌；巨蟹座,Smoking can cause lung cancer. ,吸烟会导致肺癌。
Unit6,soya,n. 大豆，[作物] 黄豆,You can make a lot of healthy foods and drinks with soya beans.,你可以用大豆做很多健康的食物和饮料。
Unit6,benefit,,Everyone would benefit from more money.,钱多了以后每个人都能从中受益。
Unit6,moderation,n. 适度；节制；温和；缓和,Exercise moderation; you will achieve what you want in due time.,
Unit6,profitable,adj. 有利润的;  赚钱的;,Planting trees can be a profitable investment into your future.,种植树木对于你的未来将会是一次有利可图的投资。
Unit6,facility,n.设施（车间等），设备，便利,This facility contains many different kinds of products.,这间车间有很多不同种类的产品。
Unit6,prove,v.证明，检验，结果是,Let me prove this for you mathematically!,让我从数学上向你证明这个。
Unit6,weight,n.重量；负荷；重要性；砝码v. 加重量于，使变重,The weight of the apples you chose is 2 kilos.,你选的苹果重量是两公斤。
Unit6,zone,n.地区，区域，范围 ,The industrial zone of the city is the source of most of the air pollution.,城市的工业区是空气污染的主要来源。
Unit6,experimental,adj.实验的，试验的,This medicine is still experimental - we're seeing how well it works.,这种药还在实验，我们正在观察它能多有效。
Unit6,nourish,v.养育；怀有(希望)；增强(希望等),The mother nourishes her child by breastfeeding.,母亲用母乳养育孩子。
Unit6,enterprise,n.企业(或事业)单位，公司；事业，事业心,The businessmen begin a new enterprise.,商人开办一家新公司。
Unit6,involve,v.牵涉；卷入；涉及； 包含,All parts of the machine are involved with each other.,机器的所有部分都环环相扣。
Unit6,agriculture,n.农业,We depend on agriculture to give us food.,我们依靠农业给我们提供食物。
Unit6,account for,解释，说明,How do you account for the problems we've had with your machine?,你们怎么解释你们机器出的问题？
Unit6,farming,n. 农业，耕作,Farming is hard work.,种地是繁重的工作。
Unit6,backward,adj.向后的，倒行的，落后的adv.向后,Look how far he can bend backward.,看他能向后能弯腰多少。
Unit6,economic,adj.经济学的，经济上的，合算的,The people of China and India have worked hard for their economic success.,中国和印度的人民为了他们经济上的成功一直努力奋斗。
Unit6,chemical,adj.化学的n.化学制品 ,Watch out--if you mix those chemicals together they will explode!,小心！如果你把这些化学制品混合在一起会爆炸的！
Unit6,natural,adj.正常的，，自然的；自然界的；天赋的,We only eat natural vegetables that we grow ourselves in our garden.,我们只吃我们种在自家菜园的天然蔬菜。
Unit6,high-tech,adj. 高科技的，高技术的；仿真技术的n. 高科技,They examined his brain using the latest high-tech medical equipment.,他们使用最新的高科技医疗设备检查了他的大脑。
Unit5,instead of,代替，而不是,"Instead of wine or beer, I always drink orange juice.",我总是喝橙汁而不是红酒或啤酒。
Unit5,cattle,n.牛，牲口，家畜,Farmers breed cattle for their milk.,农场主们饲养奶牛是为了获取牛奶。
Unit5,vegetarian,n.吃素的人，食草动物adj.素食的,There are many delicious vegetarian dishes that even meat lovers would enjoy.,很多素食菜品非常美味，就连肉食爱好者也喜欢。
Unit5,crowd,n. 人群;  民众;  一大堆;  观众;  vi. 聚集;  涌向;  急速前进;  vt. 推挤;  塞满;  使拥挤不堪;  ,There was a large crowd of people at the concert. ,音乐会有很多人。
Unit5,advise,v.劝告，忠告；建议；通知,My doctor advised me to take a vacation.,我的医生建议我去度个假。
Unit5,energy,n.能量；能源；活力；精力；能,We must find new forms of energy.,我们必须找到新型的能源。
Unit5,sound,,The sound coming from the speakers was very clear.,喇叭里传出的声音很清晰。
Unit5,grow,v.生长；增长；渐渐变得,"Potatoes from the store have no taste, so I grow my own.",商店的土豆口感不好，所以我自己种。
Unit5,contain,v.包含，容纳；遏制,Bottles with this sign usually contain poison.,带有这个标志的瓶子通常装着毒药。
Unit5,astronaut,n. 宇航员,I would love to be an astronaut and go to space.,我想成为一名宇航员并进入太空。
Unit5,appetite,"n: 食欲, 胃口, 欲望, 兴趣, 性欲;  ","Wow, what a huge appetite you have!",天哪，你的胃口真大！
Unit5,source,n.源(泉)，发源地，来源；原始码 (计算机用语),"Milk, delivered straight from the source.",牛奶，从源头新鲜直送。
Unit5,heart attack,n.心脏病发作,Get me to the hospital! I'm having a heart attack.,送我去医院！我心脏病发作了。
Unit5,cheeseburger,n. 牛肉饼；干酪汉堡包；杀伤炸弹,"You could be healthy or have a big, delicious cheeseburger with fries and a coke instead.",“健康”和“奶油巨堡加咖啡薯条”只能二选一。
Unit5,pesticide,n. 杀虫剂; 农药 ;  ,We spray the crops with pesticides to keep away insects.,我们在农作物上喷洒农药避免防止害虫。
Unit5,variety,n.变化，多样性，多样化，种类,A wide variety of spices were available in the market.,很多种类的香料在这个集市都有。
Unit5,pepper,n.胡椒粉，胡椒；辣椒,The cook used many different kinds of peppers in his recipe.,这个厨师用了很多不同种类的胡椒在他的食谱里。
Unit5,vitamin,n.维生素,Taking vitamins every day is good for your health.,每天服用维他命有利于你身体健康。
Unit5,tiny,adj.很少的，微小的,The dogs were so tiny you could pick one up with one hand.,这种狗很小你都可以一只手拿起来。
Unit5,steak,n. 牛排;  肉块; 鱼块;  ,That steak looks absolutely delicious.,那块牛排看起来美味透顶。
Unit5,increase,v./n.增加,Profits are increasing every year. We're rich!,收入逐年递增。我们富有了！
Unit5,mineral,n. 矿物，矿物质adj. 矿物的,Salt is one of the most important minerals for life.,盐是对生命最重要的矿物质之一。
Unit5,influence,,He has a lot of influence; everybody listens to him.,他有很大的影响力，所有人都听他的。
Unit4,viewer,n. 观察者；观看者；电视观众,Our family are all frequent TV viewers - we love to laugh at the cartoons.,我们家的人都很喜欢看电视，喜欢一起看动画片大笑。
Unit4,stereo,adj.立体声的n.立体声(装置) ,You must listen to the song in stereo to really appreciate the music.,你一定要用立体声设备听歌，这样才能真正地欣赏音乐。
Unit4,terrific,adj.极妙的，极大的,She feels terrific today!,她觉得今天太美妙了！
Unit4,surround,"n. 围绕物, 环绕物;  adj. 环绕立体声的;  vt. 包围;  围绕;  ",Look for the house with the two windows surrounded by green vines.  ,来找找看这个有两个窗子并被绿色藤蔓植物包围的房子。
Unit4,film,v.拍摄n.电影；胶卷；薄层,3D films are very popular in movie theaters.,3D电影在影院里非常流行。
Unit4,powder,n. 粉；火药v.抹粉 ,The stone was crushed into fine powder.,石头被压碎成精细的粉末。
Unit4,quiz,n.小型考试，测验，问答比赛v.考查，盘问,I'm very knowledgeable. I'd be good on a quiz show. ,我学识渊博，我会在智力竞赛上有很好的表现。
Unit4,ahead of,在……之前,I work hard to stay ahead of everyone else.,我努力保持第一。
