Units,words,mean_cn,sentence,sentence_tra
Unit3,lack,,There's a lack of food here - it's my boyfriend's fault!,冰箱里食物不足是我男朋友的错！
Unit3,user,n.用户，使用者,I'm a regular user of this website.,我是这个网站的老用户。
Unit3,approve,v.赞成，称许，批准,They all approve of my good performance.,他们都称许我良好的表现。
Unit3,civilisation,n.文明; 文化; ,Many relics from the ancient Egyptian civilisation have been discovered.,很多古埃及文明的遗迹都被发现了。
Unit3,swell,v/n.肿胀，肿大adj.很好的,"When you bake bread, the heat and the yeast make it swell over the top of the pan.",烤面包时，热量和酵母会让面包膨胀出盘外。
Unit3,lump,"n. 团;  肿块;  大量;  粗笨的人;  vi. 成团, 成堆;  adj. 成团的;  整个儿的;  vt. 使成块;  使团结在一起;  把…混在一起;  ",A spider is trapped in a lump of gum.,蜘蛛被困在一团树胶里。
Unit3,acid,n. 【化学】酸;  酸性物质;  尖酸;  adj. 酸味的;   尖刻的;  敏锐的;  含酸过多的;  酸的;  ,Make sure not to touch the acid--it will burn.,确保不要去碰酸，它会灼伤你的。
Unit3,angle,"n. 【数学】角;  角度;  角落; 角度, 观点;  ",The angle of each corner is 60 degrees.,（这个三角形）每个角都是60度。
Unit3,tick,n.勾号，(钟表)滴答声，一刹那v.用勾作为记号，发出滴答声,I tick the boxes one by one.,我挨个在勾选框打了勾。
Unit3,fellow students,同学,I like spending time with my fellow students at college.,我喜欢花时间跟大学同学呆在一起。
Unit3,spelling,n.拼法，拼写法,Could you check my spelling of that word?  ,你能检查一下我的单词拼写吗？
Unit3,instruct,v.命令，教授，通知,My mom instructs me how to play golf.,我妈妈教我怎么打高尔夫。
Unit3,secure,adj.安心的；安全的v.使安全；保卫；确保,I have a lot of anti-virus software to keep my computer secure.,我有很多防毒软件来确保我电脑的安全。
Unit3,lay off,v.解雇；关闭；停止活动n.(临时)解雇期,"I'm afraid your work hasn't been very good, so I have to lay you off.",我恐怕你的工作不是很好，所以我不得不解雇你。
Unit3,inspire,v. 使生灵感；启示；激发,Seeing the sunrise on the mountain top really inspired me.,看着太阳从山顶升起对我是很大的激励。
Unit3,kingdom,n.王国，领域,The Union Jack is the flag of the United Kingdom.,米字旗是大英帝国的国旗。
