units,words,mean_cn,sentence,sentence_tra
Unit3,altitude,n. 高度,At this altitude it would be dangerous to fall off.,在这种高度下跌落很危险。
Unit3,persuade,v.说服，劝说；(of)使相信,The salesman persuaded us to buy a car. ,这个销售员在说服我们俩买辆车。
Unit3,stubborn,adj.顽固的，倔强的，难对付的,"Both of them are stubborn, so when they fight they never stop.",他们都很固执己见，所以他们争执起来就从没停过。
Unit3,delta,n.(河流的)三角洲,A thriving city was built at the river delta.,一个欣欣向荣的城市被建在了河流的三角洲区域。
Unit3,glacier,n. 冰川，冰河,The glacier is made up of big blocks of ice.,冰川由大冰块组成。
Unit3,as usual,通常，平常地,"As usual, she doesn't want to get up.",像平常一样，她不想起床。
Unit3,parcel,n. 包裹;  一片;  一块;  ,"""I have parcels for you,"" said the mailman.",“有您的一些包裹！”邮递员说到。
Unit3,pace,n.步，步伐v.踱步　　,The horse walked at a fast pace.,马以很快的步速走着。
Unit3,reliable,"n. 可靠的人;  adj. 可靠的, 可以信赖的;  ",I hope the guy holding this rope is reliable.,我希望攥着绳子的这家伙是可靠的。
Unit3,atlas,n.地图集,The atlas contains information about all the countries in the world.,地图集包含了世界上所有国家的信息。
Unit3,transport,n. 运输; 运输工具;  vt. 运输; 输送; 使狂喜; 流放;  , The goose is transporting a duck to cross over the river.,这只鹅正驮着一只鸭子过河。
Unit3,flow,,I love to sit by the river and watch the water flow by.,我喜欢坐在河边，看着水流淌过。
Unit3,waterfall,"n. 瀑布, 人工瀑布;  ",The stream drops over the boulders in a beautiful small waterfall.,泉水从岩石上流下来，形成一个美丽的小瀑布。
Unit3,at midnight,在午夜,It will be 2014 at midnight. ,到了午夜就将是2014年了。
Unit3,yak,n. 牦牛,Yaks have thick fur because they live in the high mountains.,牦牛有厚皮毛，因为他们住在高山地区。
Unit3,journal,n.定期刊物，杂志，日报；日记,Every night I write about my day in my journal.,每天晚上我都要写一篇关于我的一天的日记。
Unit3,Laos,n. 老挝(东南亚国家),"Laos borders China, Thailand, and Vietnam.",老挝与中国、泰国、越南接壤。
Unit3,finally,"adv. 最后, 终于;  不可更改地;  ",I've waited a long time for this day - I'm finally getting married!,这一天我等了好久——今天我终于结婚了！
Unit3,route,n.路径，轨道，途径,The freeway is the quickest route home.,高速公路是最快回家的路。
Unit3,fare,n.交通费，乘客，食物v.（事）进行得（好或坏）,The fare for this bus ride is $2.,这一程巴士收费2美元。
Unit3,pillow,,I have three colorful pillows.,我有三个彩色枕头。
Unit3,temple,n.庙宇，圣堂，神殿,The old temple was beautiful at night.,这个古老的庙宇在晚上十分漂亮。
Unit3,prefer,v.(to)更喜欢，宁愿,"I'm sorry to say, I prefer cream cake to apples.",我很抱歉地说，比起苹果我更喜欢奶油蛋糕。
Unit3,schedule,n.时间表；计划表,"According to my schedule, I have almost nothing to do today.",从我的时间表来看，我今天几乎没什么事做。
Unit3,shortcoming,n.短处，缺点,I always forget what to say! It is one of my shortcomings. ,我总是忘记说什么！这是我的缺点之一。
Unit3,bend,,"First bend to the right, then bend to the left.",先向右弯曲，再向左弯曲。
Unit3,care about,v.对...感兴趣；关心；顾虑；在乎 ,I care about my baby more than anything else in the world.,我在乎我的宝宝超过世界上其他任何事情。
Unit3,beneath,prep. 在…下方;  低于;  adv. 在下方;  ,Most of the iceberg is beneath the surface.,大多数冰山是在水面下方。
Unit3,flame,n.火焰；热情,The house went up in flames; we lost everything.,房子烧毁了，我们失去了所有。
Unit3,fond,vi. 显出钟爱之情;  adj. 喜爱的;  溺爱的;  精神错乱的;  ,I\u2019m fond of having physical contact with my masculine boyfriend.,我喜欢跟我的猛男男友有身体接触。
Unit3,cycle,n.自行车；周期，循环　　v.（英）骑自行车；循环,I have to make a diagram of the water cycle for class.,我必须做一个图解给班上的同学来讲解水循环。
Unit3,detail,n.细节；详情v.详述,"When the leaf is seen up close, you can see a lot of fine details.",近距离看树叶时，你可以看到很多的细节。
Unit3,boil,v. 开，沸腾,As the water boils it gives off steam.,蒸汽随着水的沸腾冒出来。
Unit3,wool,n.羊毛，毛线，毛织品,I'll make you a pretty wool sweater.,我要给你织一件漂亮的羊毛衣。
Unit3,midnight,"n. 午夜, 半夜;  adj. 半夜的;  ",Lights out by midnight! I mean it!,大半夜的把灯关了！我是说真的！
Unit3,graduate,"n. 大学毕业生, 学位获得者;  vi. 毕业;  渐变, 渐渐变为;  取得资格;  adj. 毕业的;  研究生的;  vt. 授予…学位;  ",We finally graduated from the college.,我们终于大学毕业了。
Unit3,source,n.源(泉)，发源地，来源；原始码 (计算机用语),"Milk, delivered straight from the source.",牛奶，从源头新鲜直送。
Unit3,ever since,phr. 自那时起直到现在,They have lived there ever since they were married.,这一对老夫妻从结婚起就住在那里。
Unit3,view,n. 视野；见解； 风景v. 看，俯瞰；视察,What an amazing view from up here!,山顶的风景太赞了！
Unit3,insurance,n.保险，保险费，保险业,You should have insurance to pay for your medical care.,你应该有保险来支付你的医疗护理费用。
Unit3,make up one's mind,phr. 下决心;,Think about it before you make up your mind.,在决定之前要先想一想。
Unit3,rapids,n.急流；湍流,No boat could pass through these rapids and survive.,没有船能穿过这湍流。
Unit3,attitude,n. 姿势;  态度;  意见;  ,The waiter has such a bad attitude!,这个服务生态度真够差的！
Unit3,determined,adj.坚决的；决定了的,They were both determined to win the race.,他们都决心赢得比赛。
Unit3,disadvantage,n.不利，不利地位，弱点；弊端,The one ant is at a disadvantage against so many others.,这一只蚂蚁在和其他许多蚂蚁的对抗中处于劣势。
Unit3,give in,phr. 屈服;  投降;   让步;,"We give in - take what you want, just don't shoot us!",我们投降，你想要什么都拿走，只要别杀我们！
Unit3,forecast,v. 预报n.预测，预报,We forecast that the business will do better in the coming year.,我们预测在接下来一年生意会更好。
Unit3,valley,n.山谷，溪谷，低谷,From the top of the mountain I could see the entire valley below.,从山顶上我能看见下面整个山谷。
Unit3,meander,v. (指河流等)蜿蜒缓慢流动，漫步,I like to meander through the forest.,我喜欢在森林漫步。
Unit3,journey,n.旅行，旅程　　v.旅行,I took my family on a long journey to another country.,我带着我的家人，长途旅行到另一个国家。
Unit3,organize,v.组织，编组,Please organize the files by number. ,请按编号整理好文件。
Unit3,determine,v.确定，决定,I will determine which option is better.,我将决定哪一个选项更好。
