Units,words,mean_cn,sentence,sentence_tra
Unit3,purity,n.纯净，纯洁，纯正 ,White roses are a symbol of purity.,白玫瑰是纯洁的象征。
Unit3,rare,adj.罕见的；稀薄的；稀有的 ,Pandas are hard to find because they're so rare.,熊猫很难被找到，因为它们太稀有了。
Unit3,depend on,依靠；取决于,I can always depend on my husband to cheer me up.,我一直依靠我的丈夫让我振作起来。
Unit3,ambitious,adj.有抱负的，雄心勃勃的，有野心的,I'm a very ambitious woman; I hope I can get a better job soon!,我是一个很有抱负的女人，我希望我能马上得到一份更好的工作！
Unit3,emotional,adj.感情的，情绪的,She's really emotional right now because she's so stressed at work.,她现在非常的情绪化，因为她在工作中有很多压力。
Unit3,stick to, 坚持；遵守；粘附在…上；紧跟，紧随,The safest way to the mountain is to stick to the path.,最安全的上山路方式就是紧跟着那条小道。
Unit3,fascinating,adj.迷人的，有极大吸引力的,There are a lot of fascinating things to be found on the internet.,互联网上有很多吸引人的东西。
Unit3,virtue,n.善；美德，德行；优点,Constancy in love is a rare virtue.,忠贞不渝的爱是一种稀有的美德。
Unit3,firmness,n.坚定；稳固；稳定,The firmness of the foundation is important; otherwise the building might fall!,地基稳固非常重要，否则这栋楼有垮塌的危险。
Unit3,symbolize,v. 象征，用符号表现，作为象征,The skull and crossbones symbolize a poisonous substance. ,那个骷髅和十字骨头象征着有毒物质。
Unit3,relaxed,"adj. 放松的, 松懈的;  从容的, 不受拘束的;  ",Sitting by the ocean makes me feel relaxed and calm.,坐在海边让我感到放松而平静。
Unit3,wrap,v.裹，包，捆,She wrapped the gift with a paper so as to make it look attractive.,她用纸把礼物包起来，让它看起来更吸引人。
Unit3,make a difference,有影响，使不相同,A helping hand makes a big difference.,一只援手能起到重要作用。
Unit3,travel agent, 旅行代办人； 旅行代理人,A travel agent can help you plan the perfect family holiday.,旅行代理人能帮你计划完美的家庭假日。
Unit3,prosperity,n.繁荣，兴旺,Prosperity rained down from above.,真是天降横财啊！
Unit3,offend,v.冒犯，得罪，伤害…的感情,His bad behavior really offended the woman.,他这些不好的举动确实得罪了这个女人。
Unit3,association,"n. 结合;  伙伴, 关系;  协会, 联盟;  联想;  ",Our association has many members with different skills.,我们的协会里有很多拥有不同技能的成员。
Unit3,funeral,n.丧葬，葬礼,The funeral ends when the coffin is put in the ground.,棺材入土时葬礼结束。
Unit3,peace and quiet, 宁静,"I love the peace and quiet of this beautiful, deserted island!",我爱这美丽无人岛的宁静。
Unit3,adventurous,adj. 爱冒险的；大胆的；充满危险的,I felt very adventurous when I learned to rock climb. , 学会攀岩后，我就好想去冒险。
Unit3,bride,n.新娘,The bride looks like an angel in her white dress.,这个穿着白色婚纱的新娘看起来像个天使。
Unit3,stimulate,v.刺激，引起,A good massage should stimulate the neck too.,优质的按摩应该还要按摩颈部。
Unit3,thus,adv.如此，这样；因而,"You're pregnant, thus you should not drink alcohol.",你怀孕了，因此不能喝酒。
Unit3,personality,n. 个性，人物，人格,"I thought she was nice, but her real personality is much meaner.",我以为她人很好，但是原来她真实的性格讨厌得多。
