Units,words,mean_cn,sentence,sentence_tra
Unit3,brief,"n. 摘要, 概要, 简短声明;  诉讼要点;  adj. 短暂的, 短时间的;  vt. 作…的摘要;  ",She made her wish when the meteor appeared in the brief moment.,流星划过天际的瞬间，她许下了她的愿望。
Unit3,favour,n/v.帮助，好感，赞成，偏爱,The white man did the red man a favour and helped him up.,这个白色的男人帮助这个红色的男人爬上来。
Unit3,crime,n.罪行，犯罪,Those who commit crimes must be severely punished.,那些罪犯必须受到严惩。
Unit3,physician,n.内科医生,My physician told me to eat more fruits and vegetables.,我的内科医生告诉我要多吃水果和蔬菜。
Unit3,fellow,"n. 家伙, 男人;  同伴;  adj. 同事的, 同伴的;  处于相同情况的, 同类的;  vt. 使…与另一个对等, 使…与另一个匹敌;  ",Those two fellows are celebrating their success.,那两个家伙在庆祝他们的成功。
Unit3,point of view,观点；见地；立场,"If I had Brock's point of view, I wouldn't be able to do anything.",如果我有像小刚一样的视野，我大概啥也干不了啊……
Unit3,consideration,n.考虑，思考；体贴，体谅，顾及 ,He gave my proposal due consideration.,他适当地考虑了我的提议。
Unit3,goat,n.山羊,I love my pet goat even though it eats everything.,我爱我的宠物山羊，尽管它什么都吃。
Unit3,profession,n. 职业; 同行; 声明; 立誓信教;  ,"I don't just want a job, I want a real profession! ",我不仅仅是想要一份工作，我想要一份真正的职业！
Unit3,genetically,adv.从遗传学角度；从基因方面,"By changing a plant's DNA, you can create genetically modified crops.",通过改变植物的DNA，你能造出基因改造的农作物。
Unit3,radiation,n.放射，发射；辐射能,The radiation can kill you unless you wear a protective suit.,除非你穿着防护服，不然辐射能会让你丧命的。
Unit3,Italian,adj.意大利的，意大利人的，意大利语的　n.意大利人，意大利语,I like to eat all kinds of Italian pasta.,我喜欢吃各种类型的意大利面。
Unit3,anxiety,n. 忧虑，渴望,I am filled with anxiety about finishing my work.,要完成工作让我感觉很焦虑。
Unit3,chain,n.链，链条，项圈，连锁，一系列v.束缚，用链条拴住,I locked the chain so that the dog can't run away.,我把链子锁起来狗就不会乱跑了。
Unit3,consequence,"n. 结果, 后果;  结论, 推论;  ",The alcohol addiction harms your heath and results in some bad consequences.  ,酗酒有损健康还会导致一些不好的后果。
Unit3,confirm,v. 确认，证实，批准,I'll confirm that I want to buy this shirt online.,我会确认我想在网上买这件衬衫。
Unit3,intention,n.意图，意向，目的 ,My intention is to quit smoking in the next year.,我的目标是明年戒掉烟。
Unit3,actual,adj.实际的；真实的；目前的,My actual body is much fatter than my reflection. ,我的真实身材远远比镜子里的影像要肥得多.
Unit3,mammal,n.哺乳动物,Dogs are man's favorite mammal.,狗是最受人类喜爱的哺乳动物。
Unit3,profit,,Profits have increased year on year.,利润连年增长。
Unit3,majority,n. 多数， 大多数,"The majority thinks it's a good plan, but I don't think so.",大多数人都认为这是个好主意，但我不觉得。
Unit3,modify,v.改装，限定，修改,This car has been modified to make it even faster.,这车经过改装，以便跑得更快。
Unit3,exact,adj.确切的，精确的,This tool can make very exact measurements.,这工具可以进行非常精确的测量。
